pair,asset_x,asset_y,exchange,interval,period,exact_mode,spread_id,strategy_id,mode_valid,mode_source,mode_blocker,sharpe,returns_total,returns_total_pct,discovery_min_sharpe,discovery_min_returns_total,passes_sharpe_gate,passes_sharpe_gt_2,passes_returns_total_gt_20pct,hurst,half_life,pearson,spearman,kendall,copula,corr_copula,u1_given_u2,u2_given_u1,ecm_x_available,ecm_y_available,ecm_strength_available,hedge_ratio,closed_trades,drawdown,source_system,source_path,evidence_path
BNB-USD-STX-USD,BNB-USD,STX-USD,dyd,daily,320.0,,,,False,missing,missing_exact_mode,3.02,0.545,54.50000000000001,1.75,0.1,True,True,True,1.05,,0.782,0.664,0.484,clayton,0.513,0.674,0.11900000000000001,True,True,True,1.36,1.0,-0.045,crypto_wizards_pair_detail,data/raw/pair_details/pair_1_dashboard_snapshot.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/data/raw/pair_details/pair_1_dashboard_snapshot.json
BLUR-USD/ETHFI-USD,BLUR-USD,ETHFI-USD,,daily,,,,,False,missing,missing_exact_mode,1.906343532962524,0.5448460294000692,54.48460294000692,1.75,0.1,True,True,True,1.109877613711492,,,,,,,,,False,False,False,,,-0.1196480659040859,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_queue_after_apify_refresh.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_queue_after_apify_refresh.csv
BLUR-USD/ETHFI-USD,BLUR-USD,ETHFI-USD,,daily,,,,,False,missing,missing_exact_mode,1.906343532962524,0.5448460294000692,54.48460294000692,1.75,0.1,True,True,True,1.109877613711492,,,,,,,,,False,False,False,,,-0.1196480659040859,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_sharpe_returns_queue.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_sharpe_returns_queue.csv
BLUR-USD/ETHFI-USD,BLUR-USD,ETHFI-USD,dydx,daily,365.0,,,,False,missing,missing_exact_mode,1.906343532962524,0.5448460294000692,54.48460294000692,1.75,0.1,True,True,True,1.109877613711492,9.139593252775054,,,,,,,,False,False,False,0.721526188458223,,-0.11964806590408594,crypto_wizards_active_report,data/raw/pair_details/pair_BLUR-USD_ETHFI-USD_Dydx_Daily_365_daily_cw_backtest_history.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_research_blockers_only_list.csv
BNB-USD/STX-USD,BNB-USD,STX-USD,dydx,daily,320.0,Static (Spread),3.0,1.0,True,spread_id_strategy_id,,2.86,0.486,48.6,1.75,0.1,True,True,True,,,0.777,0.649,0.471,clayton,0.552,0.012,0.939,True,True,True,0.69,1.0,-0.044,crypto_wizards_pair_detail,data/raw/pair_details/pair_BNB-USD_STX-USD_Dydx_Daily_320_exact_mode_capture.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/data/raw/pair_details/pair_BNB-USD_STX-USD_Dydx_Daily_320_exact_mode_capture.json
EUR-USD/FIL-USD,EUR-USD,FIL-USD,,daily,,,,,False,missing,missing_exact_mode,2.7784205720334625,0.2974646603857553,29.74646603857553,1.75,0.1,True,True,True,0.9340852913578556,,,,,,,,,False,False,False,,,-0.0120284586634999,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_queue_after_apify_refresh.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_queue_after_apify_refresh.csv
EUR-USD/FIL-USD,EUR-USD,FIL-USD,,daily,,,,,False,missing,missing_exact_mode,2.7784205720334625,0.2974646603857553,29.74646603857553,1.75,0.1,True,True,True,0.9340852913578556,,,,,,,,,False,False,False,,,-0.0120284586634999,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_sharpe_returns_queue.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_next_best_sharpe_returns_queue.csv
EUR-USD/FIL-USD,EUR-USD,FIL-USD,dydx,daily,365.0,,,,False,missing,missing_exact_mode,2.7784205720334625,0.2974646603857553,29.74646603857553,1.75,0.1,True,True,True,0.9340852913578556,24.92704080222583,,,,,,,,False,False,False,3.1877777230539714,,-0.012028458663499912,crypto_wizards_active_report,data/raw/pair_details/pair_EUR-USD_FIL-USD_Dydx_Daily_365_daily_cw_backtest_history.json,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_research_blockers_only_list.csv
EUR-USD/FIL-USD,EUR-USD,FIL-USD,,daily,,,,,False,missing,missing_exact_mode,2.7784205720334625,0.2974646603857553,29.74646603857553,1.75,0.1,True,True,True,0.9340852913578556,24.92704080222583,,,,,,,,False,False,False,,,-0.0120284586634999,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_sharpe_returns_next_research_blockers.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_sharpe_returns_next_research_blockers.csv
ETHUSDT/GPSUSDT,ETHUSDT,GPSUSDT,,,,,,,False,missing,missing_exact_mode,3.68,,,1.75,0.1,True,True,False,,,,,,,,,,False,False,False,,,,crypto_wizards_active_report,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv,/Users/gregc/Documents/Codex/2026-06-15-chief-quantitative-research-architect-you-are/reports/active/crypto_wizards_exchange_sample_2026-06-25.csv
