name,description,type,example_value,endpoint,importance_score,notes
ecm_strength,,float,0.62,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:ecm_strength
ecm_strength,,float,0.72,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ecm.ecm_strength
ecm_x,,float,-0.11,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:ecm_x
ecm_x,,float,-0.19,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ecm.ecm_x
ecm_y,,float,-0.03,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:ecm_y
ecm_y,,float,-0.04,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ecm.ecm_y
half_life,,int,18,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:half_life
half_life,,int,18,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.half_life
hurst,,float,0.41,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:hurst
hurst,,float,0.38,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.hurst
pair,,str,ETH-BTC,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:pair
pair,,str,ETH-BTC,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:pair
regime,,str,range,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:regime
regime,,str,range,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.regime
spread,,float,-0.28,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:spread
spread,,float,-0.81,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.spread
timestamp,,str,2026-06-15T04:00:00Z,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:timestamp
timestamp,,str,2026-06-15T00:00:00Z,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:timestamp
u1_given_u2,,float,0.31,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:u1_given_u2
u1_given_u2,,float,0.14,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.copula.u1_given_u2
u2_given_u1,,float,0.46,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:u2_given_u1
u2_given_u1,,float,0.61,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.copula.u2_given_u1
zscore,,float,-0.8,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:zscore
zscore,,float,-2.3,crypto_wizards_pair_metrics_sample,90.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.zScore
cointegration_pvalue,,float,0.012,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.cointegration_pvalue
cvar,,float,0.041,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.cvar
drawdown,,float,0.08,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.drawdown
family,,str,student_t,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.copula.family
hedge_ratio,,float,12.4,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.hedge_ratio
ml_confidence,,float,0.68,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ml.ml_confidence
ou_optimal,,float,0.66,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ml.ou_optimal
price_x,,int,3540,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:price_x
price_x,,int,3500,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.price_x
price_y,,int,65000,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.csv; raw_field:price_y
price_y,,int,65200,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.price_y
profile_match,,float,0.74,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.ml.profile_match
sharpe,,float,1.7,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.sharpe
sortino,,float,2.1,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.sortino
tail_dependence,,float,0.31,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.copula.tail_dependence
var,,float,0.025,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.var
win_rate,,float,0.57,crypto_wizards_pair_metrics_sample,50.0,fixture:crypto_wizards_pair_metrics_sample.json; raw_field:metrics.risk.win_rate
