field,type,example,endpoint
[].id,str,2691194-1-1,prescanned
[].pair_id,int,2691194,prescanned
[].spread_id,int,1,prescanned
[].sym_1_volume,float,0.24508387,prescanned
[].sym_2_volume,float,879.2947,prescanned
[].sym_1_volatility_lt,float,0.4220579,prescanned
[].sym_2_volatility_lt,float,1.0131965,prescanned
[].strategy_id,int,1,prescanned
[].spread_type,str,dynamic,prescanned
[].strategy,str,zscore,prescanned
[].symbol_1,str,ETHBTC,prescanned
[].symbol_2,str,ONEUSDT,prescanned
[].profile_match,bool,False,prescanned
[].exchange,str,binanceus,prescanned
[].interval,str,daily,prescanned
[].period,int,365,prescanned
[].x_weighting,float,0.7059351,prescanned
[].y_weighting,float,0.29406488,prescanned
[].sharpe,float,2.8410287,prescanned
[].returns_total,float,0.4960149,prescanned
[].win_rate,float,1.0,prescanned
[].closed,int,1,prescanned
[].mdd,float,-0.03848375,prescanned
[].var,float,-0.022019941,prescanned
[].cvar,float,-0.024811946,prescanned
[].johansen_coint,bool,False,prescanned
[].coint_eg,bool,False,prescanned
[].coint_eg_inc_trend,bool,False,prescanned
[].coint_eg_p,float,0.18078516,prescanned
[].zero_cross,int,13,prescanned
[].stddev_cross,int,1,prescanned
[].hurst,float,1.0898149,prescanned
[].half_life,float,20.437033,prescanned
[].hedge_ratio,float,1.4512407,prescanned
[].zscore_last,float,-0.053099353,prescanned
[].zscore_roll_last,float,-1.2165265,prescanned
[].zscore_window,int,40,prescanned
[].ou_optimal,bool,False,prescanned
[].copula_id,int,3,prescanned
[].copula,str,studentt,prescanned
[].corr_copula,float,0.5045203,prescanned
[].u1_given_u2,float,0.564141,prescanned
[].u2_given_u1,float,0.019296657,prescanned
[].ml_confidence,float,0.0,prescanned
[].mini_zscore,list,[],prescanned
[].backtest_ts,int,1781216671,prescanned
