x,y,rows_x,rows_y,min_rows
ADA,ARB,1000,1000,1000
ADA,LINK,1000,59492,1000
ADA,LTC,1000,1000,1000
ADA,MATIC,1000,1000,1000
ADA,MKR,1000,12000,1000
ADA,OP,1000,1000,1000
ADA,SOL,1000,59492,1000
ADA,XRP,1000,1000,1000
ARB,ATOM,1000,1000,1000
ARB,MKR,1000,12000,1000
ATOM,AVAX,1000,1000,1000
ATOM,LTC,1000,1000,1000
ATOM,MATIC,1000,1000,1000
ATOM,MKR,1000,12000,1000
ATOM,SOL,1000,59492,1000
AVAX,MKR,1000,12000,1000
BTC,MKR,1000,12000,1000
DOGE,MKR,1000,12000,1000
LTC,MKR,1000,12000,1000
MATIC,MKR,1000,12000,1000
MKR,OP,12000,1000,1000
MKR,XRP,12000,1000,1000
