ablation,tested_component,tested_strategy_id,tested_strategy_name,baseline_strategy_id,baseline_strategy_name,hypothesis,status,matched_runs,tested_eligible_runs,baseline_eligible_runs,median_pf_delta,median_sharpe_delta,median_expectancy_delta,median_drawdown_improvement,median_win_rate_delta,median_trade_delta,incremental_score,conclusion
copula_ecm_vs_pure_copula,ecm,36,Copula + ECM Strategy,5,Pure Copula,ECM filtering improves pure copula.,evaluated,1522,0,388,9.740293588413266,3.439031338440034,0.004930814261133938,0.07227741726609473,-0.23529411764705882,-6.0,4.439194155933475,adds_value
zscore_plus_ecm_vs_zscore,ecm,2,ZScore + ECM,1,Classic ZScore Mean Reversion,ECM confirmation improves classic z-score mean reversion.,evaluated,1522,0,488,9.609004039247369,0.9823254327793267,0.003719307623097506,0.05114862670061501,-0.25,-2.0,3.7232231015636157,adds_value
ecm_copula_zscore_vs_zscore,ecm+copula,4,ECM + Copula + ZScore,1,Classic ZScore Mean Reversion,ECM and copula together improve classic z-score.,evaluated,1522,0,488,9.609004039247369,0.9823254327793267,0.003719307623097506,0.05114862670061501,-0.25,-2.0,3.7232231015636157,adds_value
ecm_copula_zscore_vs_zscore_copula,ecm,4,ECM + Copula + ZScore,3,ZScore + Copula,ECM adds incremental value beyond z-score plus copula.,evaluated,1522,0,488,9.609004039247369,0.9823254327793267,0.003719307623097506,0.05114862670061501,-0.25,-2.0,3.7232231015636157,adds_value
pure_ecm_vs_zscore,ecm_only,8,Pure ECM,1,Classic ZScore Mean Reversion,ECM-only signals can outperform z-score.,evaluated,1522,0,488,9.609004039247369,0.9823254327793267,0.003719307623097506,0.05114862670061501,-0.25,-2.0,3.7232231015636157,adds_value
hurst_filter_vs_zscore,hurst,12,Hurst Filter,1,Classic ZScore Mean Reversion,Hurst filtering improves z-score.,evaluated,1522,257,488,0.0,0.592539981427251,0.0007143456182069176,0.02505327952746562,0.0,-1.0,0.20538501059381317,adds_value
hurst_half_life_vs_zscore,hurst+half_life,13,Hurst + Half-Life,1,Classic ZScore Mean Reversion,Hurst plus half-life improves z-score.,evaluated,1522,257,488,0.0,0.592539981427251,0.0007143456182069176,0.02505327952746562,0.0,-1.0,0.20538501059381317,adds_value
tail_event_reversion_vs_pure_copula,tail_event_filter,7,Tail Event Reversion,5,Pure Copula,Tail-event filtering improves copula entries.,evaluated,1522,414,388,0.0,0.06221606009758052,0.0,2.949029909160572e-17,0.0,-1.0,0.015554015024395188,adds_value
copula_persistence_vs_pure_copula,copula_persistence,35,Copula Divergence Persistence,5,Pure Copula,Copula persistence improves pure copula.,evaluated,1522,406,388,0.0,0.0,0.0,6.938893903907228e-17,0.0,0.0,1.3877787807814457e-16,adds_value
zscore_plus_copula_vs_zscore,copula,3,ZScore + Copula,1,Classic ZScore Mean Reversion,Copula confirmation improves classic z-score mean reversion.,evaluated,1522,488,488,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
dual_conditional_copula_vs_pure_copula,dual_conditional_copula,6,Dual Conditional Copula,5,Pure Copula,Dual conditional copula improves pure copula.,evaluated,1522,390,388,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
ecm_leadership_vs_pure_ecm,ecm_leadership,9,ECM Leadership,8,Pure ECM,ECM leadership improves pure ECM.,evaluated,1522,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
half_life_optimized_vs_zscore,half_life,11,Half-Life Optimized,1,Classic ZScore Mean Reversion,Half-life thresholds improve z-score.,evaluated,1522,475,488,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
dynamic_threshold_vs_zscore,dynamic_threshold,20,Dynamic Threshold Model,1,Classic ZScore Mean Reversion,Dynamic thresholds improve static z-score.,evaluated,1522,468,488,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
regime_filtered_vs_zscore,regime_filter,24,Regime Filtered Stat-Arb,1,Classic ZScore Mean Reversion,Regime filtering improves z-score.,evaluated,1522,302,488,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
copula_risk_filter_vs_pure_copula,copula_tail_risk_filter,29,Copula Risk Filter,5,Pure Copula,Copula tail-risk filtering improves pure copula.,evaluated,1522,335,388,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
copula_dislocation_ranking_vs_pure_copula,copula_dislocation_ranking,33,Copula Dislocation Ranking Engine,5,Pure Copula,Lower copula threshold improves pure copula.,evaluated,1522,393,388,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
copula_regime_vs_pure_copula,copula_regime_filter,34,Copula + Regime Strategy,5,Pure Copula,Regime filtering improves pure copula.,evaluated,1522,236,388,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,neutral
ou_optimal_vs_zscore,ou_optimal,14,OU Optimal,1,Classic ZScore Mean Reversion,OU optimal filtering improves z-score.,evaluated,1522,465,488,0.0,-0.007319972925649232,0.0,-0.00017349007560762963,0.0,1.0,-0.0021769733826275672,hurts
proprietary_stack_vs_zscore,proprietary_stack,17,Proprietary Signal Stack,1,Classic ZScore Mean Reversion,Proprietary confidence stack improves z-score.,evaluated,1522,464,488,0.0,-0.016380794904373053,0.0,-3.937822290467352e-16,0.0,0.0,-0.004095198726094051,hurts
pure_copula_vs_zscore,copula_only,5,Pure Copula,1,Classic ZScore Mean Reversion,Copula-only dislocation can outperform z-score.,evaluated,1522,388,488,0.0,-1.9403814547175753,0.0,-0.014896285209786073,0.0,4.0,-0.5148879340989659,hurts
