strategy_id,strategy_name,family,production_eligible,preferred_eligible,acceptance_reason,preferred_reason,evaluated_runs,passing_runs,pairs_tested,passing_pairs,two_leg_pairs_tested,two_leg_execution_input_pairs,two_leg_passing_pairs,required_cost_buckets,required_backtest_mode,required_two_leg_inputs,total_trades,median_profit_factor,median_sharpe,worst_drawdown
2,ZScore + ECM,hybrid,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
4,ECM + Copula + ZScore,hybrid,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
8,Pure ECM,ecm,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
9,ECM Leadership,ecm,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
10,Leader/Follower Prediction,ecm,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
12,Hurst Filter,mean_reversion,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,394,inf,0.0,0.4367561530451211
13,Hurst + Half-Life,mean_reversion,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,392,inf,0.0,0.4367561530451211
18,Composite Quant Score,composite,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,8,inf,0.0,0.07302456793516694
19,Weighted Voting Model,composite,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,358,inf,0.0,0.6334590634260453
25,Pair Ranking Strategy,portfolio,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,8,inf,0.0,0.07302456793516694
26,Portfolio Rotation,portfolio,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,8,inf,0.0,0.07302456793516694
27,Risk Adjusted Ranking,portfolio,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,4,inf,0.0,0.012570126108562051
31,Feature Importance Model,ml,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,108,inf,0.0,0.4351793886240335
32,Trade Outcome Predictor,ml,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;worst_drawdown>0.1;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,6,inf,0.0,0.24895949458368105
36,Copula + ECM Strategy,hybrid,False,False,passing_pairs<2,not_production_eligible;median_sharpe<1.5;total_trades<250,482,0,36,0,36,33,0,base;stress,two_leg,price_x;price_y;hedge_ratio;beta;funding_x;funding_y,0,inf,0.0,0.0
