rank,pair_id,asset_x,asset_y,selector_score,candidate_trades_24h,candidate_volume_24h,candidate_oracle_price,fetch_command,request_template_command,sample_size_note,notes
1,btc_algo,BTC-USD,ALGO-USD,3.231665,353.0,18014.9451,0.0825092398,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y ALGO-USD --pair-id btc_algo --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y ALGO-USD --pair-id btc_algo --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
2,eth_algo,ETH-USD,ALGO-USD,3.231665,353.0,18014.9451,0.0825092398,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y ALGO-USD --pair-id eth_algo --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y ALGO-USD --pair-id eth_algo --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
3,sol_algo,SOL-USD,ALGO-USD,3.231665,353.0,18014.9451,0.0825092398,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y ALGO-USD --pair-id sol_algo --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y ALGO-USD --pair-id sol_algo --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
4,btc_pengu,BTC-USD,PENGU-USD,3.213641,592.0,7489.6829,0.00613,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y PENGU-USD --pair-id btc_pengu --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y PENGU-USD --pair-id btc_pengu --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
5,eth_pengu,ETH-USD,PENGU-USD,3.213641,592.0,7489.6829,0.00613,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y PENGU-USD --pair-id eth_pengu --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y PENGU-USD --pair-id eth_pengu --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
6,sol_pengu,SOL-USD,PENGU-USD,3.213641,592.0,7489.6829,0.00613,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y PENGU-USD --pair-id sol_pengu --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y PENGU-USD --pair-id sol_pengu --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
7,btc_bnb,BTC-USD,BNB-USD,3.180838,149.0,48747.2254,566.7078889,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y BNB-USD --pair-id btc_bnb --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y BNB-USD --pair-id btc_bnb --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
8,eth_bnb,ETH-USD,BNB-USD,3.180838,149.0,48747.2254,566.7078889,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y BNB-USD --pair-id eth_bnb --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y BNB-USD --pair-id eth_bnb --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
9,sol_bnb,SOL-USD,BNB-USD,3.180838,149.0,48747.2254,566.7078889,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x SOL-USD --asset-y BNB-USD --pair-id sol_bnb --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x SOL-USD --asset-y BNB-USD --pair-id sol_bnb --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
10,btc_apt,BTC-USD,APT-USD,3.160678,263.0,18589.4451,0.5948,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x BTC-USD --asset-y APT-USD --pair-id btc_apt --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x BTC-USD --asset-y APT-USD --pair-id btc_apt --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
11,eth_apt,ETH-USD,APT-USD,3.160678,263.0,18589.4451,0.5948,PYTHONPATH=src python3 -m quant_platform.cli fetch-dydx-two-leg-data --asset-x ETH-USD --asset-y APT-USD --pair-id eth_apt --limit 1000 --indexer-base https://indexer.dydx.trade --derive-hedge-ratio,PYTHONPATH=src python3 -m quant_platform.cli dydx-two-leg-request-template --asset-x ETH-USD --asset-y APT-USD --pair-id eth_apt --limit 1000 --indexer-base https://indexer.dydx.trade,pairs_tested=24;total_trades=77036;max_trades_per_run=332;max_observations=23999;minimum=1x_current_history;preferred=1x_current_history,"live selector candidate: not locally cached, not already tested, active CROSS market, positive 24h volume/trades"
