pair_id,asset_x,asset_y,rank,status,detail,pair_history,funding_csv,funding_coverage
btc_icp,BTC-USD,ICP-USD,1,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_icp_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
eth_icp,ETH-USD,ICP-USD,2,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_eth_icp_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
sol_icp,SOL-USD,ICP-USD,3,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_sol_icp_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
btc_tia,BTC-USD,TIA-USD,4,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_tia_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
eth_tia,ETH-USD,TIA-USD,5,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_eth_tia_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
sol_tia,SOL-USD,TIA-USD,6,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_sol_tia_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
btc_hbar,BTC-USD,HBAR-USD,7,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_hbar_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
eth_hbar,ETH-USD,HBAR-USD,8,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_eth_hbar_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
sol_hbar,SOL-USD,HBAR-USD,9,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_sol_hbar_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
btc_shib,BTC-USD,SHIB-USD,10,completed,fetched_candles_funding_built_pair_history,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/raw/pair_details/pair_btc_shib_5mins_dydx_candles_derived_history.json,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/data/processed/dydx_funding.csv,/Users/gregc/Documents/Codex/TheWiz-publish-20260625/reports/funding_coverage.csv
