pair,strategy_id,strategy_name,family,regime,cost_bucket,status,eligible,reason,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,observations,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,avg_gross_exposure,backtest_mode,has_price_x,has_price_y,has_hedge_ratio,has_beta,has_funding_x,has_funding_y,rank_score,rank
BTC-USD-ETH-USD,23,KMeans Regime Model,regime,bear,base,evaluated,False,trades<100,1,inf,0.2476485655629357,7.190134635451928,0.09410727030818572,1.0,0.2735007536609759,888,0.27511915202897663,0.0005,0.0004,0.00015961797498296822,0.0002,1e-05,0.9988738738738738,two_leg,True,True,True,True,True,True,205.0594930408843,1
BTC-USD-ETH-USD,23,KMeans Regime Model,regime,bear,stress,evaluated,False,trades<100,1,inf,0.2467985655629357,7.164512468108706,0.09410727030818389,1.0,0.27241707513720437,888,0.27511915202897663,0.00075,0.0008,0.00015961797498296822,0.0004,1e-05,0.9988738738738738,two_leg,True,True,True,True,True,True,204.97449304088437,2
BTC-USD-ETH-USD,12,Hurst Filter,mean_reversion,bear,base,evaluated,False,trades<100,1,inf,0.22426841446707133,6.882907721763001,0.09410727030818422,1.0,0.24484261101937688,888,0.24640248385378283,0.0005,0.0004,0.0001418795328655295,0.0002,1e-05,0.8378378378378378,two_leg,True,True,True,True,True,True,202.72147793129793,3
BTC-USD-ETH-USD,13,Hurst + Half-Life,mean_reversion,bear,base,evaluated,False,trades<100,1,inf,0.22426841446707133,6.882907721763001,0.09410727030818422,1.0,0.24484261101937688,888,0.24640248385378283,0.0005,0.0004,0.0001418795328655295,0.0002,1e-05,0.8378378378378378,two_leg,True,True,True,True,True,True,202.72147793129793,4
BTC-USD-ETH-USD,12,Hurst Filter,mean_reversion,bear,stress,evaluated,False,trades<100,1,inf,0.2234184144670713,6.855826528933075,0.09410727030818487,1.0,0.24378331898585182,888,0.24640248385378283,0.00075,0.0008,0.0001418795328655295,0.0004,1e-05,0.8378378378378378,two_leg,True,True,True,True,True,True,202.6364779312979,5
BTC-USD-ETH-USD,13,Hurst + Half-Life,mean_reversion,bear,stress,evaluated,False,trades<100,1,inf,0.2234184144670713,6.855826528933075,0.09410727030818487,1.0,0.24378331898585182,888,0.24640248385378283,0.00075,0.0008,0.0001418795328655295,0.0004,1e-05,0.8378378378378378,two_leg,True,True,True,True,True,True,202.6364779312979,6
BTC-USD-SOL-USD,22,GMM Regime Model,regime,bear,base,evaluated,False,trades<100,1,inf,0.24548294199876705,4.288316891084268,0.10574651385729356,1.0,0.2676143283215493,1707,0.2693544730385773,0.0005,0.0004,0.00026138710710608845,0.0002,1e-05,0.9589923842999414,two_leg,True,True,True,True,True,True,197.1441374178547,7
BTC-USD-SOL-USD,22,GMM Regime Model,regime,bear,stress,evaluated,False,trades<100,1,inf,0.24463294199876706,4.273105798228388,0.10574651385729428,1.0,0.2665356588193264,1707,0.2693544730385773,0.00075,0.0008,0.00026138710710608845,0.0004,1e-05,0.9589923842999414,two_leg,True,True,True,True,True,True,196.90702648929587,8
BTC-USD-SOL-USD,12,Hurst Filter,mean_reversion,bear,base,evaluated,False,trades<100,1,inf,0.2427508399005007,4.2397740096148055,0.10574651385729532,1.0,0.264152202609087,1707,0.2658882061270831,0.0005,0.0004,0.00026187002636997043,0.0002,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.38549839333336,9
BTC-USD-SOL-USD,13,Hurst + Half-Life,mean_reversion,bear,base,evaluated,False,trades<100,1,inf,0.2427508399005007,4.2397740096148055,0.10574651385729532,1.0,0.264152202609087,1707,0.2658882061270831,0.0005,0.0004,0.00026187002636997043,0.0002,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.38549839333336,10
BTC-USD-SOL-USD,21,HMM Regime Model,regime,bear,base,evaluated,False,trades<100,1,inf,0.2427508399005007,4.2397740096148055,0.10574651385729532,1.0,0.264152202609087,1707,0.2658882061270831,0.0005,0.0004,0.00026187002636997043,0.0002,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.38549839333336,11
BTC-USD-SOL-USD,23,KMeans Regime Model,regime,bear,base,evaluated,False,trades<100,1,inf,0.2427508399005007,4.2397740096148055,0.10574651385729532,1.0,0.264152202609087,1707,0.2658882061270831,0.0005,0.0004,0.00026187002636997043,0.0002,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.38549839333336,12
BTC-USD-SOL-USD,12,Hurst Filter,mean_reversion,bear,stress,evaluated,False,trades<100,1,inf,0.2419008399005007,4.224570371483827,0.10574651385729443,1.0,0.263076479183872,1707,0.2658882061270831,0.00075,0.0008,0.00026187002636997043,0.0004,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.14846201202363,13
BTC-USD-SOL-USD,13,Hurst + Half-Life,mean_reversion,bear,stress,evaluated,False,trades<100,1,inf,0.2419008399005007,4.224570371483827,0.10574651385729443,1.0,0.263076479183872,1707,0.2658882061270831,0.00075,0.0008,0.00026187002636997043,0.0004,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.14846201202363,14
BTC-USD-SOL-USD,21,HMM Regime Model,regime,bear,stress,evaluated,False,trades<100,1,inf,0.2419008399005007,4.224570371483827,0.10574651385729443,1.0,0.263076479183872,1707,0.2658882061270831,0.00075,0.0008,0.00026187002636997043,0.0004,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.14846201202363,15
BTC-USD-SOL-USD,23,KMeans Regime Model,regime,bear,stress,evaluated,False,trades<100,1,inf,0.2419008399005007,4.224570371483827,0.10574651385729443,1.0,0.263076479183872,1707,0.2658882061270831,0.00075,0.0008,0.00026187002636997043,0.0004,1e-05,0.9642647920328061,two_leg,True,True,True,True,True,True,196.14846201202363,16
ARB-USD-OP-USD,16,Profile Match,ml,crisis,base,evaluated,False,trades<100,1,inf,0.09370492237644198,28.8899640989124,0.0011099999999999444,1.0,0.09617168289013511,26,0.0973903574426962,0.0004999999999999999,0.00039999999999999996,5.266507341401508e-07,0.00019999999999999998,9.999999999999999e-06,0.8076923076923076,two_leg,True,True,True,True,True,True,194.3149922376442,17
ARB-USD-OP-USD,17,Proprietary Signal Stack,composite,crisis,base,evaluated,False,trades<100,1,inf,0.09370492237644198,28.8899640989124,0.0011099999999999444,1.0,0.09617168289013511,26,0.0973903574426962,0.0004999999999999999,0.00039999999999999996,5.266507341401508e-07,0.00019999999999999998,9.999999999999999e-06,0.8076923076923076,two_leg,True,True,True,True,True,True,194.3149922376442,18
