pair,market_x,market_y,funding_x_rows,funding_y_rows,funding_x_timestamped_rows,funding_y_timestamped_rows,funding_x_available,funding_y_available,ready,missing,missing_markets,required_markets
AAVE-USD-UNI-USD,AAVE-USD,UNI-USD,0,0,0,0,False,False,False,funding_x;funding_y,AAVE-USD;UNI-USD,AAVE-USD;UNI-USD
ARB-USD-OP-USD,ARB-USD,OP-USD,0,0,0,0,False,False,False,funding_x;funding_y,ARB-USD;OP-USD,ARB-USD;OP-USD
BNB-USD-LINK-USD,BNB-USD,LINK-USD,0,0,0,0,False,False,False,funding_x;funding_y,BNB-USD;LINK-USD,BNB-USD;LINK-USD
BTC-USD-ALGO-USD,BTC-USD,ALGO-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;ALGO-USD,BTC-USD;ALGO-USD
BTC-USD-APT-USD,BTC-USD,APT-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;APT-USD,BTC-USD;APT-USD
BTC-USD-AVAX-USD,BTC-USD,AVAX-USD,0,1,0,1,False,True,False,funding_x,BTC-USD,BTC-USD;AVAX-USD
BTC-USD-BNB-USD,BTC-USD,BNB-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;BNB-USD,BTC-USD;BNB-USD
BTC-USD-BONK-USD,BTC-USD,BONK-USD,0,1,0,1,False,True,False,funding_x,BTC-USD,BTC-USD;BONK-USD
BTC-USD-ETC-USD,BTC-USD,ETC-USD,0,1,0,1,False,True,False,funding_x,BTC-USD,BTC-USD;ETC-USD
BTC-USD-ETH-USD,BTC-USD,ETH-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;ETH-USD,BTC-USD;ETH-USD
BTC-USD-LINK-USD,BTC-USD,LINK-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;LINK-USD,BTC-USD;LINK-USD
BTC-USD-PENGU-USD,BTC-USD,PENGU-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTC-USD;PENGU-USD,BTC-USD;PENGU-USD
BTC-USD-SOL-USD,BTC-USD,SOL-USD,0,1,0,1,False,True,False,funding_x,BTC-USD,BTC-USD;SOL-USD
BTCUSDT-ETHUSDT,BTCUSDT-USD,ETHUSDT-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTCUSDT-USD;ETHUSDT-USD,BTCUSDT-USD;ETHUSDT-USD
BTCUSDT-SOLUSDT,BTCUSDT-USD,SOLUSDT-USD,0,0,0,0,False,False,False,funding_x;funding_y,BTCUSDT-USD;SOLUSDT-USD,BTCUSDT-USD;SOLUSDT-USD
