pair,market_x,market_y,required_markets,valid,error
AAVE-USD-UNI-USD,AAVE-USD,UNI-USD,AAVE-USD;UNI-USD,True,
ARB-USD-OP-USD,ARB-USD,OP-USD,ARB-USD;OP-USD,True,
BNB-USD-LINK-USD,BNB-USD,LINK-USD,BNB-USD;LINK-USD,True,
BTC-USD-ALGO-USD,BTC-USD,ALGO-USD,BTC-USD;ALGO-USD,True,
BTC-USD-APT-USD,BTC-USD,APT-USD,BTC-USD;APT-USD,True,
BTC-USD-AVAX-USD,BTC-USD,AVAX-USD,BTC-USD;AVAX-USD,True,
BTC-USD-BNB-USD,BTC-USD,BNB-USD,BTC-USD;BNB-USD,True,
BTC-USD-BONK-USD,BTC-USD,BONK-USD,BTC-USD;BONK-USD,True,
BTC-USD-ETC-USD,BTC-USD,ETC-USD,BTC-USD;ETC-USD,True,
BTC-USD-ETH-USD,BTC-USD,ETH-USD,BTC-USD;ETH-USD,True,
BTC-USD-LINK-USD,BTC-USD,LINK-USD,BTC-USD;LINK-USD,True,
BTC-USD-PENGU-USD,BTC-USD,PENGU-USD,BTC-USD;PENGU-USD,True,
BTC-USD-SOL-USD,BTC-USD,SOL-USD,BTC-USD;SOL-USD,True,
BTCUSDT-ETHUSDT,BTC-USD,ETH-USD,BTC-USD;ETH-USD,True,
BTCUSDT-SOLUSDT,BTC-USD,SOL-USD,BTC-USD;SOL-USD,True,
DOGE-USD-LTC-USD,DOGE-USD,LTC-USD,DOGE-USD;LTC-USD,True,
DOGE-USD-XRP-USD,DOGE-USD,XRP-USD,DOGE-USD;XRP-USD,True,
ETH-USD-ALGO-USD,ETH-USD,ALGO-USD,ETH-USD;ALGO-USD,True,
ETH-USD-APT-USD,ETH-USD,APT-USD,ETH-USD;APT-USD,True,
ETH-USD-AVAX-USD,ETH-USD,AVAX-USD,ETH-USD;AVAX-USD,True,
ETH-USD-BNB-USD,ETH-USD,BNB-USD,ETH-USD;BNB-USD,True,
ETH-USD-BONK-USD,ETH-USD,BONK-USD,ETH-USD;BONK-USD,True,
ETH-USD-ETC-USD,ETH-USD,ETC-USD,ETH-USD;ETC-USD,True,
ETH-USD-LINK-USD,ETH-USD,LINK-USD,ETH-USD;LINK-USD,True,
ETH-USD-MKR-USD,ETH-USD,MKR-USD,ETH-USD;MKR-USD,True,
ETH-USD-PENGU-USD,ETH-USD,PENGU-USD,ETH-USD;PENGU-USD,True,
ETH-USD-SOL-USD,ETH-USD,SOL-USD,ETH-USD;SOL-USD,True,
ETHUSDT-SOLUSDT,ETH-USD,SOL-USD,ETH-USD;SOL-USD,True,
MATIC-USD-ARB-USD,MATIC-USD,ARB-USD,MATIC-USD;ARB-USD,True,
SOL-USD-ALGO-USD,SOL-USD,ALGO-USD,SOL-USD;ALGO-USD,True,
SOL-USD-APT-USD,SOL-USD,APT-USD,SOL-USD;APT-USD,True,
SOL-USD-AVAX-USD,SOL-USD,AVAX-USD,SOL-USD;AVAX-USD,True,
SOL-USD-BNB-USD,SOL-USD,BNB-USD,SOL-USD;BNB-USD,True,
SOL-USD-ETC-USD,SOL-USD,ETC-USD,SOL-USD;ETC-USD,True,
SOL-USD-LINK-USD,SOL-USD,LINK-USD,SOL-USD;LINK-USD,True,
SOL-USD-PENGU-USD,SOL-USD,PENGU-USD,SOL-USD;PENGU-USD,True,
