run_id,timestamp_utc,open_gaps,pass_gates,critical,high,medium
gap_analysis_2026-06-26_170924Z,2026-06-26_170924Z,5,0,2,2,1
gap_analysis_2026-06-26_171017Z,2026-06-26_171017Z,5,0,2,2,1
gap_analysis_2026-06-26_174523Z,2026-06-26_174523Z,5,0,2,2,1
gap_analysis_2026-06-26_174554Z,2026-06-26_174554Z,5,0,2,2,1
gap_analysis_2026-06-26_175958Z,2026-06-26_175958Z,5,0,2,2,1
gap_analysis_2026-06-26_180046Z,2026-06-26_180046Z,5,0,2,2,1
gap_analysis_2026-06-26_180106Z,2026-06-26_180106Z,5,0,2,2,1
gap_analysis_2026-06-26_180520Z,2026-06-26_180520Z,5,0,2,2,1
gap_analysis_2026-06-26_180546Z,2026-06-26_180546Z,5,0,2,2,1
gap_analysis_2026-06-26_180700Z,2026-06-26_180700Z,5,0,2,2,1
gap_analysis_2026-06-26_180714Z,2026-06-26_180714Z,5,0,2,2,1
gap_analysis_2026-06-26_180742Z,2026-06-26_180742Z,5,0,2,2,1
gap_analysis_2026-06-26_180908Z,2026-06-26_180908Z,5,0,2,2,1
gap_analysis_2026-06-26_181111Z,2026-06-26_181111Z,5,0,2,2,1
gap_analysis_2026-06-26_183630Z,2026-06-26_183630Z,5,0,2,2,1
gap_analysis_2026-06-26_185534Z,2026-06-26_185534Z,5,0,2,2,1
gap_analysis_2026-06-26_185622Z,2026-06-26_185622Z,5,0,2,2,1
gap_analysis_2026-06-26_185803Z,2026-06-26_185803Z,5,0,2,2,1
gap_analysis_2026-06-26_185857Z,2026-06-26_185857Z,5,0,2,2,1
gap_analysis_2026-06-26_185913Z,2026-06-26_185913Z,5,0,2,2,1
gap_analysis_2026-06-26_185927Z,2026-06-26_185927Z,5,0,2,2,1
gap_analysis_2026-06-26_203615Z,2026-06-26_203615Z,5,0,2,2,1
gap_analysis_2026-06-26_203720Z,2026-06-26_203720Z,4,1,2,1,1
gap_analysis_2026-06-26_211319Z,2026-06-26_211319Z,5,0,2,2,1
gap_analysis_2026-06-26_211453Z,2026-06-26_211453Z,5,0,2,2,1
gap_analysis_2026-06-26_212455Z,2026-06-26_212455Z,5,0,2,2,1
gap_analysis_2026-06-26_212501Z,2026-06-26_212501Z,5,0,2,2,1
gap_analysis_2026-06-26_212515Z,2026-06-26_212515Z,5,0,2,2,1
gap_analysis_2026-06-26_212900Z,2026-06-26_212900Z,5,0,2,2,1
gap_analysis_2026-06-26_212946Z,2026-06-26_212946Z,5,0,2,2,1
