pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
BTC-USD-LINK-USD,0.8,base,202,0.8471185176221656,-0.0006640944725767435,-0.3897417676866069,0.2494417240049275,0.43564356435643564,-0.1442469811218089,0.3528037634850687,0.2015,0.1612,0.00966604635971402,0.0806,0.004030000000000001,23999,True,False
BTC-USD-LINK-USD,0.8,stress,202,0.5635238221768669,-0.0023598865517846642,-1.3423601634595248,0.4489515743731999,0.3217821782178218,-0.39330604724461027,0.3528037634850687,0.30225,0.3224,0.00966604635971402,0.1612,0.004030000000000001,23999,True,False
ETH-USD-LINK-USD,0.8,base,197,0.5412828342179913,-0.003320489589430828,-1.4792452983881255,0.5436931988776427,0.39086294416243655,-0.49836803984775313,-0.19197495329872727,0.1965,0.1572,0.039271581032269506,0.0786,0.00393,23999,True,False
ETH-USD-LINK-USD,0.8,stress,197,0.3970982998594213,-0.005016174868618644,-2.187075531924457,0.6642598408950464,0.3401015228426396,-0.6413954661024707,-0.19197495329872727,0.29475,0.3144,0.039271581032269506,0.1572,0.00393,23999,True,False
ETH-USD-LINK-USD,1.0,base,173,0.6125418833263891,-0.002999332834447597,-1.1747834416465304,0.49032371101476857,0.3988439306358382,-0.4256606857476437,-0.12293660888707503,0.1725,0.138,0.039271581032269506,0.069,0.0034500000000000004,23999,True,False
ETH-USD-LINK-USD,1.0,stress,173,0.46725872889014874,-0.004694419539649909,-1.8029718777771708,0.610912952338394,0.34104046242774566,-0.5722575747630634,-0.12293660888707503,0.25875000000000004,0.276,0.039271581032269506,0.138,0.0034500000000000004,23999,True,False
BTC-USD-LINK-USD,1.0,base,156,0.9144374534878478,-0.00041635076401318693,-0.18951128305998485,0.2270171273713986,0.4166666666666667,-0.08276567940882806,0.3089896566055508,0.1555,0.12440000000000001,0.00966604635971402,0.062200000000000005,0.003110000000000001,23999,True,False
BTC-USD-LINK-USD,1.0,stress,156,0.644691167966413,-0.002110902046064469,-0.9370418383419018,0.38284482417778387,0.3141025641025641,-0.2966171233620468,0.3089896566055508,0.23325,0.24880000000000002,0.00966604635971402,0.12440000000000001,0.003110000000000001,23999,True,False
ETH-USD-LINK-USD,1.2,base,143,0.6004276006139994,-0.003513029227726331,-1.1395152905018489,0.4915167243690046,0.38461538461538464,-0.41601737882975764,-0.16578097955546522,0.14250000000000002,0.114,0.039271581032269506,0.057,0.00285,23999,True,False
ETH-USD-LINK-USD,1.2,stress,143,0.47129091961667924,-0.005207085171782275,-1.6605754967239292,0.5900752477088819,0.36363636363636365,-0.5422261605457536,-0.16578097955546522,0.21375,0.228,0.039271581032269506,0.114,0.00285,23999,True,False
ETH-USD-LINK-USD,1.4,base,121,0.6622870574127867,-0.003002948611161331,-0.8242474518690495,0.4128549811653674,0.4297520661157025,-0.32892052761797097,-0.08706388834871692,0.1205,0.09640000000000001,0.039271581032269506,0.04820000000000001,0.0024100000000000002,23999,True,False
ETH-USD-LINK-USD,1.4,stress,121,0.5249757662484957,-0.004695923817772901,-1.2685349921755025,0.515166534052482,0.39669421487603307,-0.4538630514727716,-0.08706388834871692,0.18075000000000002,0.19280000000000003,0.039271581032269506,0.09640000000000001,0.0024100000000000002,23999,True,False
BTC-USD-LINK-USD,1.2,base,114,1.029091955981641,0.0001494076388458685,0.049891453344760486,0.18044354519821462,0.4824561403508772,-0.0042338596624785785,0.2943358950315633,0.1135,0.0908,0.00966604635971402,0.0454,0.0022700000000000003,23999,True,False
BTC-USD-LINK-USD,1.2,stress,114,0.7458404575698432,-0.0015431362208032547,-0.5054634608252566,0.29835329381469894,0.41228070175438597,-0.1796593531809918,0.2943358950315633,0.17025,0.1816,0.00966604635971402,0.0908,0.0022700000000000003,23999,True,False
BTC-USD-LINK-USD,1.4,base,106,1.0694517549209777,0.0003653159283858852,0.11360222209598136,0.16113596376500994,0.5,0.017668774899852746,0.2994335171234219,0.10550000000000001,0.0844,0.00966604635971402,0.0422,0.0021100000000000003,23999,True,False
BTC-USD-LINK-USD,1.4,stress,106,0.7851021020319672,-0.0013266652036895861,-0.40535638074736213,0.26028220586818623,0.41509433962264153,-0.15006920432832405,0.2994335171234219,0.15825,0.1688,0.00966604635971402,0.0844,0.0021100000000000003,23999,True,False
ETH-USD-LINK-USD,1.6,base,103,0.5978359346586996,-0.00418935136726546,-0.9812542416691504,0.44268017177194136,0.42718446601941745,-0.3730208603847134,-0.18061340232533185,0.10250000000000001,0.082,0.039271581032269506,0.041,0.0020500000000000006,23999,True,False
ETH-USD-LINK-USD,1.6,stress,103,0.4846293741555271,-0.005881098940080994,-1.359201927485533,0.5238015554938952,0.3883495145631068,-0.47379508460670006,-0.18061340232533185,0.15375,0.164,0.039271581032269506,0.082,0.0020500000000000006,23999,True,False
