threshold,cost_bucket,pairs,median_trades,max_trades,median_profit_factor,median_sharpe,median_expectancy,worst_drawdown,passing_pairs,diagnosis
0.8,base,15,11.0,202,0.37107545934849173,-2.6084627248074335,-0.0047041086986223946,0.6429154971491443,0,more_trades_but_profit_factor_fails
0.8,stress,15,11.0,202,0.31382426397850305,-3.143515361042732,-0.006328215841479537,0.6642598408950464,0,more_trades_but_profit_factor_fails
1.0,base,15,10.0,173,0.31865969434561736,-2.2981058286189437,-0.006306679780789975,0.6222933331795062,0,more_trades_but_profit_factor_fails
1.0,stress,15,10.0,173,0.2761971276423351,-3.1956939224475116,-0.00783971549507569,0.6279206222540273,0,more_trades_but_profit_factor_fails
1.2,base,15,8.0,143,0.28477481423502793,-2.478515186304044,-0.006456431066499597,0.6320602043302748,0,more_trades_but_profit_factor_fails
1.2,stress,15,8.0,143,0.24056620692996594,-2.829221811922678,-0.008011544702863234,0.633459063426045,0,more_trades_but_profit_factor_fails
1.4,base,15,6.0,121,0.5316936647587177,-1.2366749835411348,-0.0035219196797560575,0.6320602043302758,0,more_trades_but_profit_factor_fails
1.4,stress,15,6.0,121,0.26646849604145767,-2.2602809028185638,-0.005191225235311613,0.6334590634260451,0,more_trades_but_profit_factor_fails
1.6,base,15,5.0,103,0.5294211575169796,-1.2646627925665785,-0.004025762918579157,0.6422107160071471,0,more_trades_but_profit_factor_fails
1.6,stress,15,5.0,103,0.40633720614703867,-1.92223792372243,-0.0056504360019783584,0.6453336208227243,0,more_trades_but_profit_factor_fails
1.8,base,15,4.5,89,0.5548017288961414,-1.079944883204392,-0.0036101695059880205,0.6781358914047348,0,threshold_still_trade_sparse
1.8,stress,15,4.5,89,0.43290840190924396,-1.531048941069852,-0.005510906267089196,0.6809331707728471,0,threshold_still_trade_sparse
2.2,base,15,3.0,66,0.5124134648871836,-0.9350074796040778,-0.005307812703156948,0.7188338730830364,0,threshold_still_trade_sparse
2.0,base,15,3.0,74,0.4062646252376707,-1.0726350710284134,-0.004587834112054354,0.7023782815063175,0,threshold_still_trade_sparse
2.2,stress,15,3.0,66,0.39430084959503986,-1.1419956190457563,-0.007092099180172343,0.7214263673718371,0,threshold_still_trade_sparse
2.0,stress,15,3.0,74,0.30636999209592536,-1.3337260950573375,-0.0062428544648359015,0.7051137890307412,0,threshold_still_trade_sparse
