trade_id,pair,strategy_id,strategy_name,family,backtest_mode,entry_timestamp,exit_timestamp,entry_bar_index,exit_bar_index,trade_bars,signal_side,label_profitable,realized_return,gross_trade_return,trade_cost_drag,entry_zscore,entry_abs_zscore,zscore_change_1,zscore_change_3,spread_level,spread_change_1,spread_change_3,spread_vol_12,spread_vol_48,hedge_ratio,hedge_ratio_stability,beta,realized_volatility_percentile,cvar,var,tail_dependence,crisis_probability,liquidity_score,bid_ask_spread_bps,slippage_bps,volume_x_usd,volume_y_usd,funding_x_bps,funding_y_bps,funding_diff_bps,funding_abs_total_bps,funding_bps_per_day,regime,regime_strategy_match,cointegration_pvalue,ecm_strength,ecm_x,ecm_y,half_life,hurst,conditional_probability_distortion,copula_calibration_score,u1_given_u2,u2_given_u1,composite_score,ml_confidence,profile_match,ou_optimal
BTCUSDT-SOLUSDT|7|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,7,Tail Event Reversion,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.543782322786728,-0.5340698227867283,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.1248,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.2393119849092545,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.1988132812745191,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
BTCUSDT-SOLUSDT|35|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,35,Copula Divergence Persistence,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.4940356766078496,-0.48432317660785,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.1248,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.2393119849092545,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.1988132812745191,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
ETHUSDT-SOLUSDT|29|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,29,Copula Risk Filter,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.4938557252182386,-0.4752632252182391,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
ETHUSDT-SOLUSDT|33|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,33,Copula Dislocation Ranking Engine,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.467324565612234,-0.4487320656122345,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
ETHUSDT-SOLUSDT|34|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,34,Copula + Regime Strategy,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.4500411986385285,-0.4314486986385291,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
ETHUSDT-SOLUSDT|5|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,5,Pure Copula,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.4938557252182386,-0.4752632252182391,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
ETHUSDT-SOLUSDT|6|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,6,Dual Conditional Copula,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.644810185749296,-0.6262176857492965,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
ETHUSDT-SOLUSDT|7|2023-10-01T00:00:00+00:00|1,ETHUSDT-SOLUSDT,7,Tail Event Reversion,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.6872832034513845,-0.6686907034513849,0.0185925,-1.334896665972533,1.334896665972533,0.0,0.0,1709.92,0.0,0.0,0.0,0.0,1.0,0.9786963167304404,1.0,0.092,225.5558,149.57899999999998,0.4811771307497552,0.0736,1.0,5.0,5.0,383793846.183488,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0010095064664829,0.123029281048019,0.0,0.0,68.96756393652842,0.4975,-0.4177519120353415,0.7088759560176707,0.2911240439823292,0.7088759560176707,56.063828745774266,0.7709377333121238,0.5464158161761554,0.6195441584025937
BTCUSDT-SOLUSDT|34|2023-10-01T00:00:00+00:00|1,BTCUSDT-SOLUSDT,34,Copula + Regime Strategy,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.6130450223998491,-0.6033325223998495,0.0097125,-2.0905918915790234,2.0905918915790234,0.0,0.0,27968.7,0.0,0.0,0.0,0.0,1.0,0.9841401906734352,1.0,0.156,4341.649000000001,2920.609499999998,0.4619176412828621,0.1248,1.0,5.0,5.0,674657121.9944204,147394194.9449,0.0,0.0,0.0,0.0,0.0,range,0.5,1.0898817001114836e-06,0.2393119849092545,0.0,0.0,68.96756393652842,0.4975,-0.6023734374509617,0.8011867187254809,0.1988132812745191,0.8011867187254809,54.43391823622497,0.7745966285128566,0.4719048735540061,0.596883665454636
BTCUSDT-ETHUSDT|35|2023-10-01T00:00:00+00:00|1,BTCUSDT-ETHUSDT,35,Copula Divergence Persistence,copula,two_leg,2023-10-01 00:00:00+00:00,2026-06-26T00:00:00+00:00,0,999,1000,long_spread,0,-0.0384428242246672,-0.0287303242246676,0.0097125,-2.083367185255257,2.083367185255257,0.0,0.0,26258.78,0.0,0.0,0.0,0.0,1.0,0.9842809563283528,1.0,0.165,4146.936800000001,2804.1689999999885,0.4620781834558637,0.132,1.0,5.0,5.0,674657121.9944204,383793846.183488,0.0,0.0,0.0,0.0,0.0,range,0.5,0.0003624216573538,0.0902271662975818,0.0,0.0,68.96756393652842,0.4975,-0.6008368131457689,0.8004184065728844,0.1995815934271155,0.8004184065728844,54.33285775889085,0.7748132706208828,0.4725624782472513,0.5971003075626622
