field,type,example,source,pair
asset_x,str,BNB-USD,pair_detail,BNB-USD-LINK-USD
asset_x,str,AAVE-USD,pair_detail,AAVE-USD-UNI-USD
asset_x,str,ARB-USD,pair_detail,ARB-USD-OP-USD
asset_x,str,BTC-USD,pair_detail,BTC-USD-AVAX-USD
asset_x,str,BTC-USD,pair_detail,BTC-USD-ETH-USD
asset_x,str,BTC-USD,pair_detail,BTC-USD-LINK-USD
asset_x,str,BTC-USD,pair_detail,BTC-USD-SOL-USD
asset_x,str,DOGE-USD,pair_detail,DOGE-USD-LTC-USD
asset_x,str,DOGE-USD,pair_detail,DOGE-USD-XRP-USD
asset_x,str,ETH-USD,pair_detail,ETH-USD-AVAX-USD
asset_x,str,ETH-USD,pair_detail,ETH-USD-LINK-USD
asset_x,str,ETH-USD,pair_detail,ETH-USD-SOL-USD
asset_x,str,MATIC-USD,pair_detail,MATIC-USD-ARB-USD
asset_x,str,SOL-USD,pair_detail,SOL-USD-AVAX-USD
asset_x,str,SOL-USD,pair_detail,SOL-USD-LINK-USD
asset_y,str,LINK-USD,pair_detail,BNB-USD-LINK-USD
asset_y,str,UNI-USD,pair_detail,AAVE-USD-UNI-USD
asset_y,str,OP-USD,pair_detail,ARB-USD-OP-USD
asset_y,str,AVAX-USD,pair_detail,BTC-USD-AVAX-USD
asset_y,str,ETH-USD,pair_detail,BTC-USD-ETH-USD
asset_y,str,LINK-USD,pair_detail,BTC-USD-LINK-USD
asset_y,str,SOL-USD,pair_detail,BTC-USD-SOL-USD
asset_y,str,LTC-USD,pair_detail,DOGE-USD-LTC-USD
asset_y,str,XRP-USD,pair_detail,DOGE-USD-XRP-USD
asset_y,str,AVAX-USD,pair_detail,ETH-USD-AVAX-USD
asset_y,str,LINK-USD,pair_detail,ETH-USD-LINK-USD
asset_y,str,SOL-USD,pair_detail,ETH-USD-SOL-USD
asset_y,str,ARB-USD,pair_detail,MATIC-USD-ARB-USD
asset_y,str,AVAX-USD,pair_detail,SOL-USD-AVAX-USD
asset_y,str,LINK-USD,pair_detail,SOL-USD-LINK-USD
ecm_deviation_override_available,bool,False,pair_detail,BNB-USD-LINK-USD
ecm_deviation_override_available,bool,False,pair_detail,AAVE-USD-UNI-USD
ecm_deviation_override_available,bool,False,pair_detail,ARB-USD-OP-USD
ecm_deviation_override_available,bool,False,pair_detail,BTC-USD-AVAX-USD
ecm_deviation_override_available,bool,False,pair_detail,BTC-USD-ETH-USD
ecm_deviation_override_available,bool,False,pair_detail,BTC-USD-LINK-USD
ecm_deviation_override_available,bool,False,pair_detail,BTC-USD-SOL-USD
ecm_deviation_override_available,bool,False,pair_detail,DOGE-USD-LTC-USD
ecm_deviation_override_available,bool,False,pair_detail,DOGE-USD-XRP-USD
ecm_deviation_override_available,bool,False,pair_detail,ETH-USD-AVAX-USD
ecm_deviation_override_available,bool,False,pair_detail,ETH-USD-LINK-USD
ecm_deviation_override_available,bool,False,pair_detail,ETH-USD-SOL-USD
ecm_deviation_override_available,bool,False,pair_detail,MATIC-USD-ARB-USD
ecm_deviation_override_available,bool,False,pair_detail,SOL-USD-AVAX-USD
ecm_deviation_override_available,bool,False,pair_detail,SOL-USD-LINK-USD
ecm_strength_available,bool,True,pair_detail,BNB-USD-LINK-USD
ecm_strength_available,bool,True,pair_detail,AAVE-USD-UNI-USD
ecm_strength_available,bool,True,pair_detail,ARB-USD-OP-USD
ecm_strength_available,bool,True,pair_detail,BTC-USD-AVAX-USD
ecm_strength_available,bool,True,pair_detail,BTC-USD-ETH-USD
ecm_strength_available,bool,True,pair_detail,BTC-USD-LINK-USD
ecm_strength_available,bool,True,pair_detail,BTC-USD-SOL-USD
ecm_strength_available,bool,True,pair_detail,DOGE-USD-LTC-USD
ecm_strength_available,bool,True,pair_detail,DOGE-USD-XRP-USD
ecm_strength_available,bool,True,pair_detail,ETH-USD-AVAX-USD
ecm_strength_available,bool,True,pair_detail,ETH-USD-LINK-USD
ecm_strength_available,bool,True,pair_detail,ETH-USD-SOL-USD
ecm_strength_available,bool,True,pair_detail,MATIC-USD-ARB-USD
ecm_strength_available,bool,True,pair_detail,SOL-USD-AVAX-USD
ecm_strength_available,bool,True,pair_detail,SOL-USD-LINK-USD
ecm_x_available,bool,True,pair_detail,BNB-USD-LINK-USD
ecm_x_available,bool,True,pair_detail,AAVE-USD-UNI-USD
ecm_x_available,bool,True,pair_detail,ARB-USD-OP-USD
ecm_x_available,bool,True,pair_detail,BTC-USD-AVAX-USD
ecm_x_available,bool,True,pair_detail,BTC-USD-ETH-USD
ecm_x_available,bool,True,pair_detail,BTC-USD-LINK-USD
ecm_x_available,bool,True,pair_detail,BTC-USD-SOL-USD
ecm_x_available,bool,True,pair_detail,DOGE-USD-LTC-USD
ecm_x_available,bool,True,pair_detail,DOGE-USD-XRP-USD
ecm_x_available,bool,True,pair_detail,ETH-USD-AVAX-USD
