pair,venue,preference,venue_lanes,execution_ready,adapter_ready,ready_for_submission,contract_configured,contract_valid,exchange_submission_capable,record_only,contract_error,blockers,evidence
BTC-USD-AVAX-USD,dydx,preferred,dydx_execution_candidate,False,True,False,True,True,True,False,,missing_AVAX_venue_data;submit_orders_false,dydx_submit_orders=False;dydx_indexer_ready=True;dydx_order_adapter_ready=True
BTC-USD-AVAX-USD,hyperliquid,candidate,hyperliquid_research_candidate,False,False,False,False,False,False,False,HYPERLIQUID_PAPER_ORDER_ADAPTER is not set,hyperliquid_not_submission_ready;missing_AVAX_venue_data;missing_hyperliquid_order_client_adapter,adapter_path=;venue_contract=False
BTC-USD-AVAX-USD,coinglass hyperliquid,candidate,hyperliquid_research_candidate,False,False,False,False,False,False,False,HYPERLIQUID_PAPER_ORDER_ADAPTER is not set,coinglass hyperliquid_not_submission_ready;missing_AVAX_venue_data;missing_coinglass hyperliquid_order_client_adapter,adapter_path=;venue_contract=False
BTC-USD-AVAX-USD,coinglass dydx,candidate,dydx_context,False,True,False,True,True,True,False,,missing_AVAX_venue_data,adapter_path=quant_platform.dydx_immediate_submission_adapter:ImmediateSubmissionDydxOrderAdapter;venue_contract=True
ETH-USD-AVAX-USD,dydx,preferred,dydx_execution_candidate,False,True,False,True,True,True,False,,missing_AVAX_venue_data;submit_orders_false,dydx_submit_orders=False;dydx_indexer_ready=True;dydx_order_adapter_ready=True
ETH-USD-AVAX-USD,hyperliquid,candidate,hyperliquid_research_candidate,False,False,False,False,False,False,False,HYPERLIQUID_PAPER_ORDER_ADAPTER is not set,hyperliquid_not_submission_ready;missing_AVAX_venue_data;missing_hyperliquid_order_client_adapter,adapter_path=;venue_contract=False
ETH-USD-AVAX-USD,coinglass hyperliquid,candidate,hyperliquid_research_candidate,False,False,False,False,False,False,False,HYPERLIQUID_PAPER_ORDER_ADAPTER is not set,coinglass hyperliquid_not_submission_ready;missing_AVAX_venue_data;missing_coinglass hyperliquid_order_client_adapter,adapter_path=;venue_contract=False
ETH-USD-AVAX-USD,coinglass dydx,candidate,dydx_context,False,True,False,True,True,True,False,,missing_AVAX_venue_data,adapter_path=quant_platform.dydx_immediate_submission_adapter:ImmediateSubmissionDydxOrderAdapter;venue_contract=True
DOGE-USD-LTC-USD,dydx,preferred,dydx_execution_watch,False,True,False,True,True,True,False,,missing_LTC_venue_data;submit_orders_false,dydx_submit_orders=False;dydx_indexer_ready=True;dydx_order_adapter_ready=True
DOGE-USD-LTC-USD,hyperliquid,candidate,hyperliquid_research_candidate,False,False,False,False,False,False,False,HYPERLIQUID_PAPER_ORDER_ADAPTER is not set,hyperliquid_not_submission_ready;missing_LTC_venue_data;missing_hyperliquid_order_client_adapter,adapter_path=;venue_contract=False
