run_id,timestamp_utc,open_gaps,pass_gates,critical,high,medium
post_mortem_2026-06-26_172116Z,2026-06-26_172116Z,5,0,2,2,1
post_mortem_2026-06-26_172149Z,2026-06-26_172149Z,5,0,2,2,1
post_mortem_2026-06-26_174528Z,2026-06-26_174528Z,5,0,2,2,1
post_mortem_2026-06-26_174559Z,2026-06-26_174559Z,5,0,2,2,1
post_mortem_2026-06-26_180003Z,2026-06-26_180003Z,5,0,2,2,1
post_mortem_2026-06-26_180051Z,2026-06-26_180051Z,5,0,2,2,1
post_mortem_2026-06-26_180112Z,2026-06-26_180112Z,5,0,2,2,1
post_mortem_2026-06-26_180525Z,2026-06-26_180525Z,5,0,2,2,1
post_mortem_2026-06-26_180552Z,2026-06-26_180552Z,5,0,2,2,1
post_mortem_2026-06-26_180706Z,2026-06-26_180706Z,5,0,2,2,1
post_mortem_2026-06-26_180720Z,2026-06-26_180720Z,5,0,2,2,1
post_mortem_2026-06-26_180748Z,2026-06-26_180748Z,5,0,2,2,1
post_mortem_2026-06-26_180913Z,2026-06-26_180913Z,5,0,2,2,1
post_mortem_2026-06-26_181116Z,2026-06-26_181116Z,5,0,2,2,1
post_mortem_2026-06-26_183635Z,2026-06-26_183635Z,5,0,2,2,1
post_mortem_2026-06-26_185539Z,2026-06-26_185539Z,5,0,2,2,1
post_mortem_2026-06-26_185627Z,2026-06-26_185627Z,5,0,2,2,1
post_mortem_2026-06-26_185808Z,2026-06-26_185808Z,5,0,2,2,1
post_mortem_2026-06-26_185902Z,2026-06-26_185902Z,5,0,2,2,1
post_mortem_2026-06-26_185919Z,2026-06-26_185919Z,5,0,2,2,1
post_mortem_2026-06-26_185932Z,2026-06-26_185932Z,5,0,2,2,1
post_mortem_2026-06-26_203620Z,2026-06-26_203620Z,5,0,2,2,1
post_mortem_2026-06-26_203725Z,2026-06-26_203725Z,4,1,2,1,1
post_mortem_2026-06-26_211324Z,2026-06-26_211324Z,5,0,2,2,1
post_mortem_2026-06-26_211459Z,2026-06-26_211459Z,5,0,2,2,1
post_mortem_2026-06-26_212455Z,2026-06-26_212455Z,5,0,2,2,1
post_mortem_2026-06-26_212506Z,2026-06-26_212506Z,5,0,2,2,1
post_mortem_2026-06-26_212520Z,2026-06-26_212520Z,5,0,2,2,1
post_mortem_2026-06-26_212905Z,2026-06-26_212905Z,5,0,2,2,1
post_mortem_2026-06-26_212951Z,2026-06-26_212951Z,5,0,2,2,1
post_mortem_2026-06-26_213310Z,2026-06-26_213310Z,5,0,2,2,1
post_mortem_2026-06-26_213659Z,2026-06-26_213659Z,5,0,2,2,1
post_mortem_2026-06-26_213833Z,2026-06-26_213833Z,5,0,2,2,1
post_mortem_2026-06-26_214133Z,2026-06-26_214133Z,5,0,2,2,1
post_mortem_2026-06-26_214257Z,2026-06-26_214257Z,5,0,2,2,1
post_mortem_2026-06-26_214729Z,2026-06-26_214729Z,5,0,2,2,1
post_mortem_2026-06-26_214936Z,2026-06-26_214936Z,5,0,2,2,1
post_mortem_2026-06-26_215012Z,2026-06-26_215012Z,5,0,2,2,1
post_mortem_2026-06-26_215100Z,2026-06-26_215100Z,5,0,2,2,1
post_mortem_2026-06-26_215301Z,2026-06-26_215301Z,5,0,2,2,1
post_mortem_2026-06-26_215752Z,2026-06-26_215752Z,5,0,2,2,1
post_mortem_2026-06-26_215919Z,2026-06-26_215919Z,5,0,2,2,1
post_mortem_2026-06-26_220024Z,2026-06-26_220024Z,5,0,2,2,1
post_mortem_2026-06-26_220237Z,2026-06-26_220237Z,5,0,2,2,1
post_mortem_2026-06-26_220418Z,2026-06-26_220418Z,5,0,2,2,1
post_mortem_2026-06-26_220558Z,2026-06-26_220558Z,5,0,2,2,1
post_mortem_2026-06-26_220857Z,2026-06-26_220857Z,5,0,2,2,1
post_mortem_2026-06-26_221004Z,2026-06-26_221004Z,5,0,2,2,1
post_mortem_2026-06-26_221101Z,2026-06-26_221101Z,5,0,2,2,1
post_mortem_2026-06-26_221259Z,2026-06-26_221259Z,5,0,2,2,1
post_mortem_2026-06-26_221320Z,2026-06-26_221320Z,5,0,2,2,1
post_mortem_2026-06-26_221634Z,2026-06-26_221634Z,5,0,2,2,1
post_mortem_2026-06-26_221828Z,2026-06-26_221828Z,4,1,1,2,1
post_mortem_2026-06-26_222306Z,2026-06-26_222306Z,4,1,1,2,1
post_mortem_2026-06-26_222850Z,2026-06-26_222850Z,4,1,1,2,1
post_mortem_2026-06-26_223320Z,2026-06-26_223320Z,4,1,1,2,1
post_mortem_2026-06-26_224531Z,2026-06-26_224531Z,4,1,1,2,1
post_mortem_2026-06-26_230406Z,2026-06-26_230406Z,4,1,1,2,1
post_mortem_2026-06-26_230859Z,2026-06-26_230859Z,4,1,1,2,1
