run_id,timestamp_utc,open_gaps,pass_gates,critical,high,medium
pre_mortem_2026-06-26_171833Z,2026-06-26_171833Z,5,0,2,2,1
pre_mortem_2026-06-26_174526Z,2026-06-26_174526Z,5,0,2,2,1
pre_mortem_2026-06-26_174557Z,2026-06-26_174557Z,5,0,2,2,1
pre_mortem_2026-06-26_180001Z,2026-06-26_180001Z,5,0,2,2,1
pre_mortem_2026-06-26_180048Z,2026-06-26_180048Z,5,0,2,2,1
pre_mortem_2026-06-26_180109Z,2026-06-26_180109Z,5,0,2,2,1
pre_mortem_2026-06-26_180523Z,2026-06-26_180523Z,5,0,2,2,1
pre_mortem_2026-06-26_180549Z,2026-06-26_180549Z,5,0,2,2,1
pre_mortem_2026-06-26_180703Z,2026-06-26_180703Z,5,0,2,2,1
pre_mortem_2026-06-26_180717Z,2026-06-26_180717Z,5,0,2,2,1
pre_mortem_2026-06-26_180745Z,2026-06-26_180745Z,5,0,2,2,1
pre_mortem_2026-06-26_180910Z,2026-06-26_180910Z,5,0,2,2,1
pre_mortem_2026-06-26_181114Z,2026-06-26_181114Z,5,0,2,2,1
pre_mortem_2026-06-26_183633Z,2026-06-26_183633Z,5,0,2,2,1
pre_mortem_2026-06-26_185536Z,2026-06-26_185536Z,5,0,2,2,1
pre_mortem_2026-06-26_185624Z,2026-06-26_185624Z,5,0,2,2,1
pre_mortem_2026-06-26_185805Z,2026-06-26_185805Z,5,0,2,2,1
pre_mortem_2026-06-26_185900Z,2026-06-26_185900Z,5,0,2,2,1
pre_mortem_2026-06-26_185916Z,2026-06-26_185916Z,5,0,2,2,1
pre_mortem_2026-06-26_185930Z,2026-06-26_185930Z,5,0,2,2,1
pre_mortem_2026-06-26_203617Z,2026-06-26_203617Z,5,0,2,2,1
pre_mortem_2026-06-26_203723Z,2026-06-26_203723Z,4,1,2,1,1
pre_mortem_2026-06-26_211321Z,2026-06-26_211321Z,5,0,2,2,1
pre_mortem_2026-06-26_211456Z,2026-06-26_211456Z,5,0,2,2,1
pre_mortem_2026-06-26_212455Z,2026-06-26_212455Z,5,0,2,2,1
pre_mortem_2026-06-26_212503Z,2026-06-26_212503Z,5,0,2,2,1
pre_mortem_2026-06-26_212517Z,2026-06-26_212517Z,5,0,2,2,1
pre_mortem_2026-06-26_212903Z,2026-06-26_212903Z,5,0,2,2,1
pre_mortem_2026-06-26_212948Z,2026-06-26_212948Z,5,0,2,2,1
pre_mortem_2026-06-26_213308Z,2026-06-26_213308Z,5,0,2,2,1
pre_mortem_2026-06-26_213656Z,2026-06-26_213656Z,5,0,2,2,1
pre_mortem_2026-06-26_213830Z,2026-06-26_213830Z,5,0,2,2,1
pre_mortem_2026-06-26_214130Z,2026-06-26_214130Z,5,0,2,2,1
pre_mortem_2026-06-26_214254Z,2026-06-26_214254Z,5,0,2,2,1
pre_mortem_2026-06-26_214725Z,2026-06-26_214725Z,5,0,2,2,1
pre_mortem_2026-06-26_214933Z,2026-06-26_214933Z,5,0,2,2,1
