pair,threshold,cost_bucket,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,observations,passes_trade_gate,passes_quality_gate
ETH-USD-LINK-USD,1.0,base,173,0.6197852274541666,-0.0029265704310190107,-1.1462839454911966,0.48442836874912165,0.3988439306358382,-0.41838508817595954,-0.12293660888707503,0.1725,0.138,0.026683685239123858,0.069,0.0034500000000000004,23999,True,False
ETH-USD-LINK-USD,1.0,stress,173,0.4727572691242433,-0.004621657136221322,-1.7750253529450308,0.6064124080189731,0.34104046242774566,-0.5668389868980421,-0.12293660888707503,0.25875000000000004,0.276,0.026683685239123858,0.138,0.0034500000000000004,23999,True,False
BTC-USD-LINK-USD,1.0,base,156,0.8574535605526347,-0.0007151698811963246,-0.32552627300391973,0.25747023984776973,0.41025641025641024,-0.12454211079629962,0.3089896566055508,0.1555,0.12440000000000001,0.0562818286402835,0.062200000000000005,0.003110000000000001,23999,True,False
BTC-USD-LINK-USD,1.0,stress,156,0.6058793458083676,-0.002409721163247607,-1.0696928291021057,0.4085759041328009,0.3141025641025641,-0.3286537839246563,0.3089896566055508,0.23325,0.24880000000000002,0.0562818286402835,0.12440000000000001,0.003110000000000001,23999,True,False
ETH-USD-LINK-USD,1.25,base,133,0.5990112582198878,-0.003558438948977634,-1.0731357769217722,0.4717087215289845,0.39849624060150374,-0.3987933648939943,-0.17051836582184,0.1325,0.10600000000000001,0.026683685239123858,0.053000000000000005,0.0026500000000000004,23999,True,False
ETH-USD-LINK-USD,1.25,stress,133,0.46991050356897035,-0.005252047971534025,-1.557514202001066,0.570768987664388,0.37593984962406013,-0.520637770982707,-0.17051836582184,0.19875,0.21200000000000002,0.026683685239123858,0.10600000000000001,0.0026500000000000004,23999,True,False
ETH-USD-LINK-USD,1.5,base,113,0.6241559309936582,-0.003647279409386547,-0.9359919248827515,0.4279172598337846,0.4424778761061947,-0.36082314040420715,-0.15652566893701536,0.1125,0.09,0.026683685239123858,0.045,0.0022500000000000003,23999,True,False
ETH-USD-LINK-USD,1.5,stress,113,0.5002372964621663,-0.005339757285492743,-1.350232357237558,0.5227193870440608,0.39823008849557523,-0.4726558675845286,-0.15652566893701536,0.16875,0.18,0.026683685239123858,0.09,0.0022500000000000003,23999,True,False
BTC-USD-LINK-USD,1.25,base,112,1.0169710741295759,8.943586539203413e-05,0.029366612511713203,0.1867502256576424,0.48214285714285715,-0.011158995948074235,0.340654402654764,0.1115,0.0892,0.0562818286402835,0.0446,0.00223,23999,True,False
BTC-USD-LINK-USD,1.25,stress,112,0.7430089643976863,-0.0016029748488936796,-0.5166840719176965,0.29513914314405054,0.35714285714285715,-0.18256178551035385,0.340654402654764,0.16725,0.1784,0.0562818286402835,0.0892,0.00223,23999,True,False
BTC-USD-LINK-USD,1.5,base,102,0.9310535720303664,-0.0003924038596861102,-0.11752531007619456,0.20346534231497534,0.4803921568627451,-0.05936264665748259,0.24721594314264528,0.1015,0.08120000000000001,0.0562818286402835,0.040600000000000004,0.00203,23999,True,False
BTC-USD-LINK-USD,1.5,stress,102,0.6857511285096171,-0.0020840705263527764,-0.6138671230873451,0.2960289710435252,0.37254901960784315,-0.20900998148025307,0.24721594314264528,0.15225,0.16240000000000002,0.0562818286402835,0.08120000000000001,0.00203,23999,True,False
ETH-USD-LINK-USD,1.75,base,91,0.7378565948469823,-0.00265663263381453,-0.5512366608023228,0.3714672639777066,0.4175824175824176,-0.2418659845253751,-0.047508534731874885,0.0905,0.07239999999999999,0.026683685239123858,0.036199999999999996,0.0018100000000000002,23999,False,False
ETH-USD-LINK-USD,1.75,stress,91,0.6103771378910118,-0.00434729197447387,-0.8922841716481478,0.4499140389530852,0.38461538461538464,-0.35048454302566656,-0.047508534731874885,0.13575,0.14479999999999998,0.026683685239123858,0.07239999999999999,0.0018100000000000002,23999,False,False
BTC-USD-LINK-USD,1.75,base,84,0.9634288835594508,-0.0002215626423643102,-0.05478032789548272,0.20529569725867725,0.4880952380952381,-0.03890556920550903,0.22424214925681452,0.0835,0.0668,0.056236140155736775,0.0334,0.0016700000000000003,23999,False,False
BTC-USD-LINK-USD,1.75,stress,84,0.7271968895615095,-0.0019114435947452607,-0.4662172859774219,0.2666393781102964,0.39285714285714285,-0.166579615224982,0.22424214925681452,0.12525000000000003,0.1336,0.056236140155736775,0.0668,0.0016700000000000003,23999,False,False
