pair,regime,observations,observation_share
BTC-USD-BCH-USD,range,11940,0.9930139720558883
BTC-USD-BCH-USD,bull,56,0.004657351962741184
BTC-USD-BCH-USD,crisis,20,0.00166333998669328
BTC-USD-BCH-USD,bear,8,0.0006653359946773121
BNB-USD-LINK-USD,range,91,1.0
AAVE-USD-UNI-USD,range,98,0.98
AAVE-USD-UNI-USD,bear,1,0.01
AAVE-USD-UNI-USD,bull,1,0.01
AAVE-USD-UNI-USD,range,704,0.704
AAVE-USD-UNI-USD,bull,192,0.192
AAVE-USD-UNI-USD,bear,84,0.084
AAVE-USD-UNI-USD,crisis,20,0.02
ARB-USD-OP-USD,range,100,1.0
ARB-USD-OP-USD,range,6696,0.5602409638554217
ARB-USD-OP-USD,crisis,1796,0.15026773761713522
ARB-USD-OP-USD,bull,1794,0.1501004016064257
ARB-USD-OP-USD,bear,1666,0.13939089692101742
BNB-USD-LINK-USD,range,9888,0.824
BNB-USD-LINK-USD,crisis,1356,0.113
BNB-USD-LINK-USD,bull,385,0.03208333333333333
BNB-USD-LINK-USD,bear,371,0.030916666666666665
BTC-USD-ADA-USD,range,100,1.0
BTC-USD-ALGO-USD,range,200,1.0
BTC-USD-APE-USD,range,100,1.0
BTC-USD-APT-USD,range,200,1.0
BTC-USD-ALGO-USD,range,375,0.9375
BTC-USD-ALGO-USD,bear,19,0.0475
BTC-USD-ALGO-USD,bull,6,0.015
BTC-USD-ASTER-USD,range,957,0.957
BTC-USD-ASTER-USD,bear,32,0.032
BTC-USD-ASTER-USD,bull,11,0.011
BTC-USD-ATOM-USD,range,604,0.604
BTC-USD-ATOM-USD,bull,162,0.162
BTC-USD-ATOM-USD,crisis,128,0.128
BTC-USD-ATOM-USD,bear,106,0.106
BTC-USD-AVAX-USD,range,955,0.955
BTC-USD-AVAX-USD,bear,33,0.033
BTC-USD-AVAX-USD,bull,12,0.012
BTC-USD-BCH-USD,range,952,0.952
BTC-USD-BCH-USD,bear,33,0.033
