regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Profile Match,276,90,0.5591221082558258,-0.6101980122883148,0.04989055807979931,-0.003017313108276465,-0.008566866751702651,0.0058727974638990155,2.1675,2.0808,0.30687263280441185,1.0404,0.03468,0.8425,1862,276,0
ALL,Regime Filtered Stat-Arb,276,89,0.414997114051494,-0.8822600772383427,0.060763029971490135,-0.006857246887495672,-0.01693988974974253,0.0060116270242932535,1.7375,1.6680000000000001,0.31282300710873584,0.8340000000000001,0.027800000000000002,0.9639819819819819,1524,276,0
ALL,GMM Regime Model,276,79,0.38989719018131686,-0.8587030573439702,0.05491601621121149,-0.005295113846154387,-0.009796034696597566,0.0058209859457818425,1.725,1.6560000000000001,0.3085726204599448,0.8280000000000001,0.027600000000000003,0.9115,1500,276,0
ALL,Classic ZScore Mean Reversion,276,79,0.3460261265426362,-1.0082967379661214,0.06063714481486222,-0.008557305302407059,-0.017204945457485576,0.006470922470681595,2.58625,2.4828,0.3150843265186526,1.2414,0.04138000000000001,0.965,2204,276,0
ALL,ZScore + Copula,276,79,0.3460261265426362,-1.0082967379661214,0.06063714481486222,-0.008557305302407059,-0.017204945457485576,0.006470922470681595,2.58625,2.4828,0.3150843265186526,1.2414,0.04138000000000001,0.965,2204,276,0
ALL,KMeans Regime Model,276,77,0.620360536072216,-0.4018551064673081,0.055036528235035714,-0.002703312259092927,-0.009212412969205552,0.005867705902053599,1.625,1.56,0.3106132130948208,0.78,0.026000000000000002,0.96,1416,276,0
ALL,HMM Regime Model,276,75,0.437537520933168,-0.7896036928664748,0.05877537415569262,-0.008569053177068742,-0.014233771005986717,0.006001713187034019,1.8462500000000002,1.7724,0.3114509235405797,0.8862,0.029540000000000004,0.943,1600,276,0
ALL,Dynamic Threshold Model,276,72,0.32213032907706385,-1.1910917353923396,0.06116424621596187,-0.011192343718707087,-0.019841185415597318,0.007106214329007043,2.9475000000000002,2.8296,0.3155159104005479,1.4148,0.04716000000000001,0.974,2496,276,0
ALL,ML Confidence,276,67,0.25751882476457444,-1.8144394132172343,0.06631199518564584,-0.014048989746348162,-0.029940163573786316,0.010060896779729767,3.7025,3.5544000000000002,0.3170924385979524,1.7772000000000001,0.05924000000000001,0.975487987987988,3100,276,0
ALL,Meta Model,276,67,0.25607224664522,-1.8282261719870145,0.06529444134399408,-0.013868038473113131,-0.027227178026156595,0.009935073306015119,3.555,3.4128000000000003,0.3170707659413737,1.7064000000000001,0.05688000000000001,0.975,2982,276,0
ALL,Proprietary Signal Stack,276,66,0.24669363978533415,-1.7878925291157768,0.06508666994021634,-0.013826788958618219,-0.026393990743326823,0.009530327258980398,3.3375000000000004,3.204,0.3162736346946376,1.602,0.05340000000000001,0.973,2808,276,0
ALL,OU Optimal,276,63,0.268853917343971,-1.7336108271561286,0.06667229159931189,-0.013745296841004506,-0.030628640351958836,0.010953044267021483,3.825,3.672,0.3171511823271647,1.836,0.061200000000000004,0.9768605815117443,3198,276,0
ALL,Half-Life Optimized,276,63,0.258733929422591,-1.3948459532638733,0.06342277507245339,-0.012589366547925696,-0.023398910109283577,0.008662437329543249,3.2237500000000003,3.0948,0.315791502438985,1.5474,0.05158000000000001,0.975,2716,276,0
ALL,Copula + Regime Strategy,276,59,0.2933739162360181,-3.1142895765781593,0.07278611957912037,-0.01561897759607389,-0.04988777184388993,0.022434561935728903,8.045,7.7232,0.3194231865210632,3.8616,0.12872000000000003,0.995,6574,276,0
ALL,Hurst + Half-Life,276,55,inf,0.0,0.011770150146081163,0.0,0.0,0.0018265181848272083,1.1125,1.068,0.25651343536056037,0.534,0.017800000000000003,0.5475,974,276,0
ALL,Hurst Filter,276,55,inf,0.0,0.011770150146081163,0.0,0.0,0.0018265181848272083,1.1125,1.068,0.25651343536056037,0.534,0.017800000000000003,0.5475,974,276,0
ALL,Tail Event Reversion,276,54,0.25194314415876873,-3.063860761836742,0.07487974808525566,-0.01826592390833437,-0.03897267441270502,0.017675874036886807,6.456250000000001,6.198,0.3160348397904042,3.099,0.1033,0.99,5302,276,0
ALL,Copula Dislocation Ranking Engine,276,53,0.2364918062818252,-4.342672793707877,0.08277607200094707,-0.02320974661825531,-0.05435896645678989,0.028757249913327232,12.24,11.7504,0.3196494741913638,5.8752,0.19584000000000001,0.995,9930,276,0
ALL,Pure Copula Portfolio,276,53,0.2364918062818252,-4.342672793707877,0.08277607200094707,-0.02320974661825531,-0.05435896645678989,0.028757249913327232,12.24,11.7504,0.3196494741913638,5.8752,0.19584000000000001,0.995,9930,276,0
ALL,Copula Tail Risk Sizing,276,51,0.22228889802319313,-3.6766890627462656,0.0730958883565705,-0.025091418559227474,-0.05453753628058916,0.023714486506085153,9.606250000000001,9.222000000000001,0.316237949983262,4.611000000000001,0.1537,0.9949999999999999,7822,276,0
ALL,Pure Copula,276,51,0.2128803048326936,-3.6766890627462656,0.0755506928598554,-0.0257517908798382,-0.05526869382427252,0.024206512266949476,9.7675,9.376800000000001,0.3195085645665953,4.688400000000001,0.15628,0.995,7952,276,0
ALL,Copula Risk Filter,276,49,0.3529003015125044,-3.182365964643446,0.06308690533955123,-0.01206894461545066,-0.03414010571125908,0.021167001604413038,8.51,8.1696,0.2605425389063523,4.0848,0.13616,0.99,6930,276,0
