strategy_id,strategy_name,status,reason,rows
1,Classic ZScore Mean Reversion,evaluated,trades<100,136
1,Classic ZScore Mean Reversion,evaluated,trades<100;max_drawdown>0.15,12
1,Classic ZScore Mean Reversion,evaluated,trades<100;profit_factor<1.8,3
1,Classic ZScore Mean Reversion,evaluated,trades<100;profit_factor<1.8;sharpe<1.2,11
1,Classic ZScore Mean Reversion,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,186
1,Classic ZScore Mean Reversion,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15,4
1,Classic ZScore Mean Reversion,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,62
1,Classic ZScore Mean Reversion,evaluated,trades<100;sharpe<1.2,13
1,Classic ZScore Mean Reversion,evaluated,trades<100;sharpe<1.2;expectancy<=0,50
1,Classic ZScore Mean Reversion,evaluated,trades<100;sharpe<1.2;max_drawdown>0.15,5
1,Classic ZScore Mean Reversion,skipped,rows<20,66
2,ZScore + ECM,evaluated,trades<100;sharpe<1.2;expectancy<=0,482
2,ZScore + ECM,skipped,rows<20,66
3,ZScore + Copula,evaluated,trades<100,136
3,ZScore + Copula,evaluated,trades<100;max_drawdown>0.15,12
3,ZScore + Copula,evaluated,trades<100;profit_factor<1.8,3
3,ZScore + Copula,evaluated,trades<100;profit_factor<1.8;sharpe<1.2,11
3,ZScore + Copula,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,186
3,ZScore + Copula,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15,4
3,ZScore + Copula,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,62
3,ZScore + Copula,evaluated,trades<100;sharpe<1.2,13
3,ZScore + Copula,evaluated,trades<100;sharpe<1.2;expectancy<=0,50
3,ZScore + Copula,evaluated,trades<100;sharpe<1.2;max_drawdown>0.15,5
3,ZScore + Copula,skipped,rows<20,66
4,ECM + Copula + ZScore,evaluated,trades<100;sharpe<1.2;expectancy<=0,482
4,ECM + Copula + ZScore,skipped,rows<20,66
5,Pure Copula,evaluated,profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,18
5,Pure Copula,evaluated,trades<100,122
5,Pure Copula,evaluated,trades<100;max_drawdown>0.15,10
