strategy_id,strategy_name,family,diagnosis,next_action,evaluated_runs,skipped_runs,pairs_tested,eligible_runs,total_trades,max_trades_per_run,median_profit_factor,median_sharpe,worst_drawdown,median_expectancy,median_cost_drag,top_run_failures,top_skip_reasons,missing_columns,acceptance_reason,preferred_reason
33,Copula Dislocation Ranking Engine,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,6730,332,0.6687607745354593,-1.5370721913888354,0.7842988726739815,-0.0024441421053058,0.026621047493236898,trades<100:140;profit_factor<1.8:123;sharpe<1.2:117;expectancy<=0:101;max_drawdown>0.15:54,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
37,Pure Copula Portfolio,portfolio,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,6730,332,0.6687607745354593,-1.5370721913888354,0.7842988726739815,-0.0024441421053058,0.026621047493236898,trades<100:140;profit_factor<1.8:123;sharpe<1.2:117;expectancy<=0:101;max_drawdown>0.15:54,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
5,Pure Copula,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,5358,264,0.7267977547676098,-1.0837210927306264,0.7149018608874625,-0.0016204738079362,0.023703698718968047,trades<100:146;profit_factor<1.8:119;sharpe<1.2:111;expectancy<=0:95;max_drawdown>0.15:51,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
28,Copula Tail Risk Sizing,portfolio,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,4714,264,0.9358194655513424,-0.2252148710130833,0.7149018608874625,-0.00034600054935415,0.018327346840533002,trades<100:148;sharpe<1.2:111;profit_factor<1.8:109;expectancy<=0:95;max_drawdown>0.15:41,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
6,Dual Conditional Copula,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,4428,214,0.8003881935689272,-0.638152778142087,0.659432247074228,-0.00142487306091695,0.01834345884156745,trades<100:156;profit_factor<1.8:116;sharpe<1.2:113;expectancy<=0:96;max_drawdown>0.15:48,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
35,Copula Divergence Persistence,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,4388,212,0.8080548566719252,-0.8642768816557491,0.6669035007452322,-0.0017549625841968499,0.01935589305334495,trades<100:158;profit_factor<1.8:115;sharpe<1.2:108;expectancy<=0:96;max_drawdown>0.15:52,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
29,Copula Risk Filter,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,4108,264,1.3324713770005112,0.0,0.7149018608874625,0.0,0.013191285749126203,trades<100:150;sharpe<1.2:114;expectancy<=0:100;profit_factor<1.8:93;max_drawdown>0.15:35,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
34,Copula + Regime Strategy,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,3674,208,4.743252402122661,0.0,0.6422024900138168,0.0,0.0104255238929186,trades<100:154;sharpe<1.2:137;expectancy<=0:121;profit_factor<1.8:74;max_drawdown>0.15:34,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
7,Tail Event Reversion,copula,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,3366,183,1.0465819597644215,0.0,0.6691644402182618,0.0,0.013097682182102156,trades<100:160;sharpe<1.2:106;profit_factor<1.8:103;expectancy<=0:92;max_drawdown>0.15:36,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
14,OU Optimal,mean_reversion,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,2318,111,1.0627782940431723,0.0,0.5758817035069961,0.0,0.008883630661439053,trades<100:162;profit_factor<1.8:99;sharpe<1.2:99;expectancy<=0:85;max_drawdown>0.15:42,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
15,ML Confidence,ml,no_passing_pairs,reject for now; search for pairs/regimes where the strategy passes both base and stress costs,166,6,15,0,2228,99,1.030611127640015,0.0,0.5832063400830662,0.0,0.0081776417731114,trades<100:166;sharpe<1.2:102;profit_factor<1.8:100;expectancy<=0:86;max_drawdown>0.15:42,rows<20:6,,passing_pairs<2,not_production_eligible;median_profit_factor<2.0;median_sharpe<1.5;worst_drawdown>0.1
