pair,strategy_id,strategy_name,family,regime,cost_bucket,status,eligible,reason,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,observations,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,avg_gross_exposure,backtest_mode,has_price_x,has_price_y,has_hedge_ratio,has_beta,has_funding_x,has_funding_y,rank_score,rank
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,range,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.605150870466826,-0.00014810932340570505,-0.026245457886236397,0.025375126452952073,0.5,-0.0010226289103894004,768,0.0029822002944583925,0.0015,0.0012000000000000001,0.000653415240653141,0.0006000000000000001,3.0000000000000004e-05,0.9661458333333334,two_leg,True,True,True,True,True,True,18.58274992782011,1
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,4,0.40742842983863004,-0.005384944042156529,-1.1863007263936904,0.06386943294210927,0.5,-0.022722325652296815,1000,-0.01420258147558362,0.0035,0.0028,0.0008706439896671973,0.0014,7.000000000000001e-05,0.974,two_leg,True,True,True,True,True,True,-0.4092625692922689,2
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,range,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.0,-0.001423109323405705,-0.24920384902351242,0.027046449971934776,0.0,-0.00358432961968147,768,0.0029822002944583925,0.0022500000000000003,0.0024000000000000002,0.000653415240653141,0.0012000000000000001,3.0000000000000004e-05,0.9661458333333334,two_leg,True,True,True,True,True,True,-3.9866719211724337,3
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,4,0.30842741994097944,-0.006872444042156528,-1.4931248503469423,0.06866862808740533,0.5,-0.02855981255348372,1000,-0.01420258147558362,0.0052499999999999995,0.0056,0.0008706439896671973,0.0028,7.000000000000001e-05,0.974,two_leg,True,True,True,True,True,True,-6.341238813530856,4
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.3207655280999152,-0.005162976967441505,-1.2032557313900252,0.15968576777650034,0.3076923076923077,-0.1295817090086393,12000,-0.03175774928266184,0.025500000000000002,0.0204,0.04988333333333335,0.0102,0.00051,0.9976666666666667,two_leg,True,True,True,True,False,False,-9.437082120048462,5
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,range,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.2166005499968473,-0.00601203758416234,-1.7821416025056356,0.16863570052079468,0.3076923076923077,-0.1474935474779001,10339,-0.058225106202238086,0.025500000000000002,0.0204,0.042962500000000015,0.0102,0.00051,0.997291807718348,two_leg,True,True,True,True,False,False,-18.362467982668065,6
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,crisis,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,5,0.20673807892984924,-0.016305746005668788,-2.4606052340594986,0.11641160671349503,0.2,-0.08096517173107187,1658,-0.06541992094304416,0.0045000000000000005,0.0036000000000000003,0.006783333333333336,0.0018000000000000002,9e-05,0.9819059107358263,two_leg,True,True,True,True,False,False,-24.888755303590383,7
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.12951445297930375,-0.01066746414692869,-2.4605599027339946,0.26875228106983406,0.19230769230769232,-0.24572307609620048,12000,-0.03175774928266184,0.038250000000000006,0.0408,0.14965000000000006,0.0204,0.00051,0.9976666666666667,two_leg,True,True,True,True,False,False,-33.949021247965,8
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,crisis,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,5,0.13997720500532632,-0.02054907933900212,-3.0937809370212235,0.13224303534207238,0.2,-0.10027190494739124,1658,-0.06541992094304416,0.00675,0.007200000000000001,0.020350000000000007,0.0036000000000000003,9e-05,0.9819059107358263,two_leg,True,True,True,True,False,False,-34.105438946082906,9
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,bull,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,3,0.34727003662903755,-0.0073827058752604325,-6.6570458357411,0.0471078082924421,0.3333333333333333,-0.022315300905220492,116,-0.01672718178689414,0.0025,0.002,0.00012248240946835287,0.001,5.000000000000001e-05,0.9137931034482759,two_leg,True,True,True,True,True,True,-41.078576753088875,10
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,range,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.07475748251099039,-0.010984152968777729,-3.2106222835565124,0.26748158470072114,0.19230769230769232,-0.25094702929141166,10339,-0.058225106202238086,0.038250000000000006,0.0408,0.12888750000000004,0.0204,0.00051,0.997291807718348,two_leg,True,True,True,True,False,False,-42.78670338162726,11
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,bull,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,3,0.2763974734735652,-0.0087993725419271,-7.689455784181953,0.05117573273299347,0.3333333333333333,-0.02648906527983863,116,-0.01672718178689414,0.0037500000000000003,0.004,0.00012248240946835287,0.002,5.000000000000001e-05,0.9137931034482759,two_leg,True,True,True,True,True,True,-43.19545372066992,12
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,bear,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.0,-0.017439735519205638,-11.01260960301373,0.051257606964795255,0.0,-0.03471973761501512,98,-0.031439354091284955,0.0015,0.0012000000000000001,5.415107576141638e-05,0.0006000000000000001,3.0000000000000004e-05,0.9897959183673469,two_leg,True,True,True,True,True,True,-54.30685390016033,13
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,bear,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.0,-0.018714735519205633,-11.692531676207958,0.05287794508583507,0.0,-0.037188317556152706,98,-0.031439354091284955,0.0022500000000000003,0.0024000000000000002,5.415107576141638e-05,0.0012000000000000001,3.0000000000000004e-05,0.9897959183673469,two_leg,True,True,True,True,True,True,-54.51537080621232,14
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,bear,base,skipped,False,rows<20,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_run,True,True,True,True,False,False,-1000000.0,15
BTC-USD-SOL-USD,20,Dynamic Threshold Model,adaptive,bear,stress,skipped,False,rows<20,0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_run,True,True,True,True,False,False,-1000000.0,16
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,crisis,base,skipped,False,rows<20,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_run,True,True,True,True,True,True,-1000000.0,17
SOL-USD-LINK-USD,20,Dynamic Threshold Model,adaptive,crisis,stress,skipped,False,rows<20,0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_run,True,True,True,True,True,True,-1000000.0,18
