regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Composite Quant Score,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Weighted Voting Model,4,0,inf,-0.8234197309687287,0.10035055343941497,-0.033461918467803775,-0.08621232694599923,0.052750408478195454,0.07875,0.0756,0.1999833333333334,0.0378,0.0012600000000000003,0.49995833333333334,64,4,0
ALL,Proprietary Signal Stack,4,0,0.4471145361497818,-0.9662004466149277,0.10404941721287611,-0.013442394250701706,-0.06996805646573151,0.056525662215029804,0.07250000000000001,0.0696,0.20172303980127046,0.0348,0.00116,0.9854583333333333,60,4,0
bear,Composite Quant Score,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Weighted Voting Model,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Proprietary Signal Stack,2,0,0.0,-9.315733813731372,0.04756704019722659,-0.026709396734212465,-0.03129435299886729,0.004584956264654827,0.0037500000000000003,0.0036000000000000003,0.0001077184985071508,0.0018000000000000002,6.000000000000001e-05,0.9795918367346939,4,2,0
bull,Composite Quant Score,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Weighted Voting Model,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Proprietary Signal Stack,2,0,0.800342901333674,-1.5907018655623864,0.03072370988178552,0.0020642508830115425,-0.005753406582408693,0.007817657465420236,0.00625,0.006,0.00024384771961636826,0.003,0.00010000000000000002,0.896551724137931,6,2,0
crisis,Composite Quant Score,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Proprietary Signal Stack,2,0,0.6216711635080265,-1.1126531267470443,0.12338657060018027,-0.006726542531891755,-0.03964763528104476,0.032921092749153,0.01625,0.015600000000000003,0.02758333333333334,0.007800000000000001,0.00026000000000000003,0.9981905910735827,14,2,0
crisis,Weighted Voting Model,2,0,0.5969831595485726,-1.299678698577904,0.12878350575731623,-0.012335450745559084,-0.044994999897272125,0.03265954915171304,0.01625,0.015600000000000003,0.02758333333333334,0.007800000000000001,0.00026000000000000003,0.9981905910735827,14,2,0
range,Composite Quant Score,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
range,Weighted Voting Model,4,0,inf,-1.0731211538443197,0.09749072296440275,-0.04013494682033264,-0.08746118395204217,0.047326237131709525,0.07375000000000001,0.0708,0.17230000000000004,0.0354,0.00118,0.4999516394235419,60,4,0
range,Proprietary Signal Stack,4,0,0.09644177532868015,-1.0374714015764148,0.09056769610309912,-0.02079233720327406,-0.06953524747483097,0.048742910271556916,0.0675,0.0648,0.17360524896990898,0.0324,0.0010800000000000002,0.9810714310902087,56,4,0
