ablation,tested_component,tested_strategy_id,tested_strategy_name,baseline_strategy_id,baseline_strategy_name,hypothesis,status,matched_runs,tested_eligible_runs,baseline_eligible_runs,median_pf_delta,median_sharpe_delta,median_expectancy_delta,median_drawdown_improvement,median_win_rate_delta,median_trade_delta,incremental_score,conclusion
copula_risk_filter_vs_pure_copula,copula_tail_risk_filter,29,Copula Risk Filter,5,Pure Copula,Copula tail-risk filtering improves pure copula.,evaluated,14,0,0,9.842205659965188,5.768335105467052,0.006869078571716408,0.1375092408807577,-0.13333333333333333,-13.0,5.217231691499925,adds_value
dual_conditional_copula_vs_pure_copula,dual_conditional_copula,6,Dual Conditional Copula,5,Pure Copula,Dual conditional copula improves pure copula.,evaluated,14,0,0,0.014689336807176934,1.041941728454836,0.00042152046105784413,0.021078350196979793,0.016359287327029265,-2.0,0.31363453373346184,adds_value
tail_event_reversion_vs_pure_copula,tail_event_filter,7,Tail Event Reversion,5,Pure Copula,Tail-event filtering improves copula entries.,evaluated,14,0,0,0.03559443437860346,0.7549020635440562,-0.00027258405914965195,0.015724747649534132,0.03481934731934731,-2.0,0.23338915735803173,adds_value
copula_persistence_vs_pure_copula,copula_persistence,35,Copula Divergence Persistence,5,Pure Copula,Copula persistence improves pure copula.,evaluated,14,0,0,0.026311672663279717,0.38667468850051767,0.00044706587321289887,0.02050125772765037,0.007882882882882879,-2.0,0.15213922003299532,adds_value
copula_regime_vs_pure_copula,copula_regime_filter,34,Copula + Regime Strategy,5,Pure Copula,Regime filtering improves pure copula.,evaluated,14,0,0,0.0,0.08133995892432222,0.0,0.005921696631465495,0.0,0.0,0.032178382994011545,adds_value
copula_dislocation_ranking_vs_pure_copula,copula_dislocation_ranking,33,Copula Dislocation Ranking Engine,5,Pure Copula,Lower copula threshold improves pure copula.,evaluated,14,0,0,0.025137430319422397,0.00041055657540933765,0.0008316444263738155,-0.0,0.0023809523809523864,2.0,0.017455279257483566,adds_value
pure_copula_vs_zscore,copula_only,5,Pure Copula,1,,Copula-only dislocation can outperform z-score.,missing_baseline_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_baseline_strategy
zscore_plus_ecm_vs_zscore,ecm,2,,1,,ECM confirmation improves classic z-score mean reversion.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
zscore_plus_copula_vs_zscore,copula,3,,1,,Copula confirmation improves classic z-score mean reversion.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
ecm_copula_zscore_vs_zscore,ecm+copula,4,,1,,ECM and copula together improve classic z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
ecm_copula_zscore_vs_zscore_copula,ecm,4,,3,,ECM adds incremental value beyond z-score plus copula.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
pure_ecm_vs_zscore,ecm_only,8,,1,,ECM-only signals can outperform z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
ecm_leadership_vs_pure_ecm,ecm_leadership,9,,8,,ECM leadership improves pure ECM.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
half_life_optimized_vs_zscore,half_life,11,,1,,Half-life thresholds improve z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
hurst_filter_vs_zscore,hurst,12,,1,,Hurst filtering improves z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
hurst_half_life_vs_zscore,hurst+half_life,13,,1,,Hurst plus half-life improves z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
ou_optimal_vs_zscore,ou_optimal,14,,1,,OU optimal filtering improves z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
proprietary_stack_vs_zscore,proprietary_stack,17,,1,,Proprietary confidence stack improves z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
dynamic_threshold_vs_zscore,dynamic_threshold,20,,1,,Dynamic thresholds improve static z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
regime_filtered_vs_zscore,regime_filter,24,,1,,Regime filtering improves z-score.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
copula_ecm_vs_pure_copula,ecm,36,,5,Pure Copula,ECM filtering improves pure copula.,missing_tested_strategy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,missing_tested_strategy
