pair,regime,strategy_id,strategy_name,family,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,total_trades
BTC-USD-SOL-USD,ALL,29,Copula Risk Filter,copula,2,0,inf,0.0,0.0,0
BTC-USD-SOL-USD,ALL,7,Tail Event Reversion,copula,2,0,0.17802432006796587,-2.489496229372403,0.27135272420714684,92
BTC-USD-SOL-USD,ALL,35,Copula Divergence Persistence,copula,2,0,0.15362532247830285,-2.937660651751496,0.3102288922674949,144
BTC-USD-SOL-USD,ALL,6,Dual Conditional Copula,copula,2,0,0.134138813219568,-3.0159123334122997,0.3146423358721704,124
BTC-USD-SOL-USD,ALL,33,Copula Dislocation Ranking Engine,copula,2,0,0.13101599166395922,-3.5241704672999266,0.36024704652264733,188
BTC-USD-SOL-USD,ALL,5,Pure Copula,copula,2,0,0.1087967168167491,-3.40350066099803,0.3459905011529519,148
BTC-USD-SOL-USD,ALL,34,Copula + Regime Strategy,copula,2,0,0.1045794137114524,-3.322160702073708,0.34006880452148636,144
BTC-USD-SOL-USD,crisis,29,Copula Risk Filter,copula,2,0,inf,0.0,0.0,0
BTC-USD-SOL-USD,crisis,34,Copula + Regime Strategy,copula,2,0,inf,0.0,0.0,0
BTC-USD-SOL-USD,crisis,6,Dual Conditional Copula,copula,2,0,0.8102245667393666,-0.6827469623003319,0.11107071520350123,22
BTC-USD-SOL-USD,crisis,35,Copula Divergence Persistence,copula,2,0,0.7531695763746566,-0.925557224427242,0.1183860464470951,22
BTC-USD-SOL-USD,crisis,7,Tail Event Reversion,copula,2,0,0.6731541377435273,-1.2162385579179298,0.1266187424461512,14
BTC-USD-SOL-USD,crisis,33,Copula Dislocation Ranking Engine,copula,2,0,0.4589771947337289,-2.4469505351544028,0.1382545325580274,30
BTC-USD-SOL-USD,crisis,5,Pure Copula,copula,2,0,0.38861991422705205,-2.9320984869522118,0.1522890540618187,26
BTC-USD-SOL-USD,range,29,Copula Risk Filter,copula,2,0,inf,0.0,0.0,0
BTC-USD-SOL-USD,range,35,Copula Divergence Persistence,copula,2,0,0.11842166502469961,-3.6908289238606162,0.3042659185564317,140
