regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Copula Risk Filter,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Tail Event Reversion,4,0,0.193025342337944,-4.136073369837268,0.17582107023983712,-0.05555376514366872,-0.14522761392399441,0.0896738487803257,0.14500000000000002,0.13920000000000002,0.20173536554882746,0.06960000000000001,0.0023200000000000004,0.9994583333333333,118,4,0
ALL,Copula Dislocation Ranking Engine,4,0,0.18775401803110112,-4.713153325820262,0.2161565555032905,-0.04131550762531577,-0.18181289841386594,0.14049739078855017,0.275,0.264,0.20173536554882743,0.132,0.0044,0.9994583333333333,222,4,0
ALL,Dual Conditional Copula,4,0,0.18096566705401623,-4.1836984256943754,0.1904747449784424,-0.05725530261704326,-0.16038394527668626,0.103128642659643,0.185,0.1776,0.20173536554882743,0.0888,0.0029600000000000004,0.9994583333333333,150,4,0
ALL,Copula Divergence Persistence,4,0,0.17072007145312176,-4.517955565062559,0.19033222448663364,-0.04556034028889855,-0.1602545136438192,0.11469417335492066,0.21000000000000002,0.2016,0.20173536554882743,0.1008,0.0033600000000000006,0.9994583333333333,170,4,0
ALL,Copula + Regime Strategy,4,0,0.1649163293897205,-4.508758197143556,0.2056128671540909,-0.06156980311929294,-0.1760703044194203,0.11450050130012734,0.21500000000000002,0.2064,0.20173536554882743,0.1032,0.0034400000000000008,0.9994583333333333,174,4,0
ALL,Pure Copula,4,0,0.15779434003481285,-4.915387377411248,0.21443342487088937,-0.06967731056481236,-0.1852235244089509,0.11554621384413855,0.22,0.2112,0.20173536554882743,0.1056,0.003520000000000001,0.9994583333333333,178,4,0
bear,Copula + Regime Strategy,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Copula Risk Filter,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Copula Dislocation Ranking Engine,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bear,Copula Divergence Persistence,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bear,Dual Conditional Copula,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bear,Pure Copula,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bear,Tail Event Reversion,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bull,Copula Risk Filter,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Dual Conditional Copula,2,0,0.38767591771499,-8.011831724280874,0.05543107723126213,-0.01395353211882533,-0.03069482503206017,0.01674129291323484,0.01375,0.0132,0.00025276568666243336,0.0066,0.00022000000000000003,0.9913793103448276,12,2,0
bull,Copula Divergence Persistence,2,0,0.38468861810426525,-8.669432265753313,0.05572612660424765,-0.014328582583675087,-0.030997608920490027,0.01666902633681494,0.01375,0.0132,0.00025276568666243336,0.0066,0.00022000000000000003,0.9913793103448276,12,2,0
bull,Tail Event Reversion,2,0,0.33145166448092567,-10.15048797303277,0.06326111514381405,-0.022119806826705335,-0.0387299141101734,0.016610107283468067,0.01375,0.0132,0.00025276568666243336,0.0066,0.00022000000000000003,0.9913793103448276,12,2,0
bull,Copula Dislocation Ranking Engine,2,0,0.2844208206171074,-12.624158606194376,0.07280539042006043,-0.026110538864798638,-0.048523441916198784,0.022412903051400146,0.01875,0.018000000000000002,0.00025276568666243336,0.009000000000000001,0.00030000000000000003,0.9913793103448276,16,2,0
bull,Copula + Regime Strategy,2,0,0.25698263866966203,-14.556304784940618,0.07898586279334818,-0.03261466220879039,-0.05486577377433177,0.02225111156554138,0.01875,0.018000000000000002,0.00025276568666243336,0.009000000000000001,0.00030000000000000003,0.9913793103448276,16,2,0
