pair,regime,strategy_id,strategy_name,family,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,total_trades
BTC-USD-SOL-USD,ALL,11,Half-Life Optimized,mean_reversion,2,0,0.21467967146580313,-1.8028519819355362,0.2129103373071698,56
BTC-USD-SOL-USD,ALL,14,OU Optimal,mean_reversion,2,0,0.16417605385980286,-2.1621959814596,0.2439981224158903,60
BTC-USD-SOL-USD,ALL,12,Hurst Filter,mean_reversion,2,0,0.0006656590658408235,-1.887623085605447,0.1916067255111738,16
BTC-USD-SOL-USD,ALL,13,Hurst + Half-Life,mean_reversion,2,0,0.0006656590658408235,-1.887623085605447,0.1916067255111738,16
BTC-USD-SOL-USD,crisis,12,Hurst Filter,mean_reversion,2,0,inf,0.8504297059736367,0.05770788016759991,2
BTC-USD-SOL-USD,crisis,13,Hurst + Half-Life,mean_reversion,2,0,inf,0.8504297059736367,0.05770788016759991,2
BTC-USD-SOL-USD,crisis,14,OU Optimal,mean_reversion,2,0,0.617643633287922,-1.191764973825262,0.12578755363735733,14
BTC-USD-SOL-USD,crisis,11,Half-Life Optimized,mean_reversion,2,0,0.252864111780672,-2.1699359269934178,0.10705873402629797,10
BTC-USD-SOL-USD,range,11,Half-Life Optimized,mean_reversion,2,0,0.13240209421595117,-2.4277880875192985,0.21477559482257802,56
BTC-USD-SOL-USD,range,14,OU Optimal,mean_reversion,2,0,0.09392026856386969,-2.813806385202076,0.24065121703956893,60
BTC-USD-SOL-USD,range,12,Hurst Filter,mean_reversion,2,0,0.0007300532737492761,-2.17110408604944,0.17807126727527375,16
BTC-USD-SOL-USD,range,13,Hurst + Half-Life,mean_reversion,2,0,0.0007300532737492761,-2.17110408604944,0.17807126727527375,16
SOL-USD-LINK-USD,ALL,12,Hurst Filter,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,ALL,13,Hurst + Half-Life,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,ALL,11,Half-Life Optimized,mean_reversion,2,0,0.5041045787304855,-1.126273090210688,0.06249738045799598,8
SOL-USD-LINK-USD,ALL,14,OU Optimal,mean_reversion,2,0,0.36422046539120256,-1.9827539011070423,0.07685069097973754,12
SOL-USD-LINK-USD,bear,12,Hurst Filter,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,bear,13,Hurst + Half-Life,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,bear,11,Half-Life Optimized,mean_reversion,2,0,0.0,-12.748190986021179,0.04756704019722641,4
SOL-USD-LINK-USD,bear,14,OU Optimal,mean_reversion,2,0,0.0,-9.315733813731372,0.04756704019722659,4
SOL-USD-LINK-USD,bull,12,Hurst Filter,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,bull,13,Hurst + Half-Life,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,bull,14,OU Optimal,mean_reversion,2,0,0.7160289055550676,-2.447108156037474,0.033708007160219655,6
SOL-USD-LINK-USD,bull,11,Half-Life Optimized,mean_reversion,2,0,0.2618992898954751,-7.8648185053348545,0.04481711494042051,6
SOL-USD-LINK-USD,range,12,Hurst Filter,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,range,13,Hurst + Half-Life,mean_reversion,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,range,11,Half-Life Optimized,mean_reversion,2,0,2.843481150903058,0.4831656388313762,0.028290426818918288,4
SOL-USD-LINK-USD,range,14,OU Optimal,mean_reversion,2,0,0.39465121172093076,-1.6762199824442516,0.05160940977400317,8
