regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Hurst + Half-Life,4,0,inf,-0.702622627112476,0.07452736849929992,-0.04547959653754319,-0.07365163335956987,0.02817203682202668,0.01875,0.018000000000000002,0.1892833333333334,0.009000000000000001,0.00030000000000000003,0.47320833333333334,16,4,0
ALL,Hurst Filter,4,0,inf,-0.702622627112476,0.07452736849929992,-0.04547959653754319,-0.07365163335956987,0.02817203682202668,0.01875,0.018000000000000002,0.1892833333333334,0.009000000000000001,0.00030000000000000003,0.47320833333333334,16,4,0
ALL,Half-Life Optimized,4,0,0.3854570546851948,-1.224927265673717,0.11093378659272854,-0.01709387204560958,-0.07559627812123304,0.05850240607562346,0.07749999999999999,0.0744,0.2016079546460011,0.0372,0.0012400000000000002,0.9866666666666666,64,4,0
ALL,OU Optimal,4,0,0.2812898353577421,-1.9827539011070423,0.13502617032118797,-0.038608265080861404,-0.10092064011455815,0.06231237503369674,0.0875,0.08400000000000002,0.20172462131266777,0.04200000000000001,0.0014,0.9869583333333334,72,4,0
bear,Hurst + Half-Life,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Hurst Filter,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Half-Life Optimized,2,0,0.0,-12.748190986021179,0.04756704019722641,-0.03701991123879378,-0.041553574954891925,0.004533663716098146,0.0037500000000000003,0.0036000000000000003,0.0001020325884834105,0.0018000000000000002,6.000000000000001e-05,0.8775510204081632,4,2,0
bear,OU Optimal,2,0,0.0,-9.315733813731372,0.04756704019722659,-0.026709396734212465,-0.03129435299886729,0.004584956264654827,0.0037500000000000003,0.0036000000000000003,0.0001077184985071508,0.0018000000000000002,6.000000000000001e-05,0.9795918367346939,4,2,0
bull,Hurst + Half-Life,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Hurst Filter,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,OU Optimal,2,0,0.7160289055550676,-2.447108156037474,0.033708007160219655,-0.0007734906298624278,-0.008566861520476643,0.007793370890614215,0.00625,0.006,0.000244406269276537,0.003,0.00010000000000000002,0.9051724137931034,6,2,0
bull,Half-Life Optimized,2,0,0.2618992898954751,-7.8648185053348545,0.04481711494042051,-0.019042309455516215,-0.026700390605163493,0.007658081149647278,0.00625,0.006,0.00024496481893670574,0.003,0.0001,0.9137931034482759,6,2,0
crisis,Hurst + Half-Life,2,0,inf,0.8504297059736367,0.05770788016759991,0.038479734293699774,0.024785530605971884,0.01369420368772789,0.00125,0.0012000000000000001,0.023516666666666675,0.0006000000000000001,2e-05,0.8510253317249699,2,2,0
crisis,Hurst Filter,2,0,inf,0.8504297059736367,0.05770788016759991,0.038479734293699774,0.024785530605971884,0.01369420368772789,0.00125,0.0012000000000000001,0.023516666666666675,0.0006000000000000001,2e-05,0.8510253317249699,2,2,0
crisis,OU Optimal,2,0,0.617643633287922,-1.191764973825262,0.12578755363735733,-0.008920850885227316,-0.041710898110008665,0.03279004722478135,0.01625,0.015600000000000003,0.02758333333333334,0.007800000000000001,0.00026000000000000003,0.9981905910735827,14,2,0
crisis,Half-Life Optimized,2,0,0.252864111780672,-2.1699359269934178,0.10705873402629797,-0.046133133548945215,-0.07176618116099676,0.02563304761205154,0.01125,0.0108,0.026983333333333342,0.0054,0.00018,0.9764776839565742,10,2,0
range,Hurst + Half-Life,4,0,inf,-0.8183061655157102,0.07033473966004847,-0.04180970125690492,-0.06722435481007738,0.02541465355317246,0.01875,0.018000000000000002,0.16160000000000002,0.009000000000000001,0.00030000000000000003,0.4689041493374601,16,4,0
range,Hurst Filter,4,0,inf,-0.8183061655157102,0.07033473966004847,-0.04180970125690492,-0.06722435481007738,0.02541465355317246,0.01875,0.018000000000000002,0.16160000000000002,0.009000000000000001,0.00030000000000000003,0.4689041493374601,16,4,0
range,Half-Life Optimized,4,0,1.1929131095412182,-0.6683708300084118,0.0964284245616866,-0.01916420581903361,-0.06952145943424964,0.050357253615216035,0.0725,0.0696,0.17349016381463966,0.0348,0.00116,0.9826860320550022,60,4,0
range,OU Optimal,4,0,0.23898241496878325,-1.998622732789995,0.12221287650030041,-0.041746430515954114,-0.09644958670445308,0.05470315618849897,0.0825,0.0792,0.17360683048130632,0.0396,0.00132,0.9830245560902087,68,4,0
