strategy_id,strategy_name,status,reason,rows
11,Half-Life Optimized,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,8
11,Half-Life Optimized,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,4
11,Half-Life Optimized,evaluated,trades<100;sharpe<1.2,2
11,Half-Life Optimized,skipped,rows<20,4
12,Hurst Filter,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2
12,Hurst Filter,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,2
12,Hurst Filter,evaluated,trades<100;sharpe<1.2,2
12,Hurst Filter,evaluated,trades<100;sharpe<1.2;expectancy<=0,8
12,Hurst Filter,skipped,rows<20,4
13,Hurst + Half-Life,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2
13,Hurst + Half-Life,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,2
13,Hurst + Half-Life,evaluated,trades<100;sharpe<1.2,2
13,Hurst + Half-Life,evaluated,trades<100;sharpe<1.2;expectancy<=0,8
13,Hurst + Half-Life,skipped,rows<20,4
14,OU Optimal,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,10
14,OU Optimal,evaluated,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,4
14,OU Optimal,skipped,rows<20,4
