regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,Pair Ranking Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Portfolio Rotation,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Risk Adjusted Ranking,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
ALL,Pure Copula Portfolio,4,0,0.18775401803110112,-4.713153325820262,0.2161565555032905,-0.04131550762531577,-0.18181289841386594,0.14049739078855017,0.275,0.264,0.20173536554882743,0.132,0.0044,0.9994583333333333,222,4,0
ALL,Copula Tail Risk Sizing,4,0,0.15779434003481285,-4.915387377411248,0.21443342487088937,-0.06967731056481236,-0.1852235244089509,0.11554621384413855,0.22,0.2112,0.20173536554882743,0.1056,0.003520000000000001,0.9994583333333333,178,4,0
bear,Pair Ranking Strategy,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Portfolio Rotation,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Risk Adjusted Ranking,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,Copula Tail Risk Sizing,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bear,Pure Copula Portfolio,2,0,0.0,-9.34131007336809,0.04756704019722659,-0.026791928562608036,-0.031376778732102484,0.004584850169494448,0.0037500000000000003,0.0036000000000000003,0.00010830215152283275,0.0018000000000000002,6.000000000000001e-05,0.9897959183673469,4,2,0
bull,Pair Ranking Strategy,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Portfolio Rotation,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Risk Adjusted Ranking,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bull,Pure Copula Portfolio,2,0,0.2844208206171074,-12.624158606194376,0.07280539042006043,-0.026110538864798638,-0.048523441916198784,0.022412903051400146,0.01875,0.018000000000000002,0.00025276568666243336,0.009000000000000001,0.00030000000000000003,0.9913793103448276,16,2,0
bull,Copula Tail Risk Sizing,2,0,0.25698263866966203,-14.556304784940618,0.07898586279334818,-0.03261466220879039,-0.05486577377433177,0.02225111156554138,0.01875,0.018000000000000002,0.00025276568666243336,0.009000000000000001,0.00030000000000000003,0.9913793103448276,16,2,0
crisis,Pair Ranking Strategy,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Portfolio Rotation,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Risk Adjusted Ranking,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,Pure Copula Portfolio,2,0,0.4589771947337289,-2.4469505351544028,0.1382545325580274,-0.025054150075507264,-0.0800422311423512,0.05498808106684394,0.036250000000000004,0.034800000000000005,0.027616666666666678,0.017400000000000002,0.0005800000000000002,0.9993968636911942,30,2,0
crisis,Copula Tail Risk Sizing,2,0,0.38861991422705205,-2.9320984869522118,0.1522890540618187,-0.046756676291574206,-0.0950285450256041,0.04827186873402989,0.03125,0.03,0.027616666666666678,0.015,0.0005000000000000001,0.9993968636911942,26,2,0
range,Pair Ranking Strategy,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
range,Portfolio Rotation,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
range,Risk Adjusted Ranking,4,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
range,Pure Copula Portfolio,4,0,0.14841484258152804,-5.989858170678973,0.203086959771078,-0.050362708018863,-0.1784458362498768,0.1280831282310138,0.26,0.2496,0.17361757471746597,0.1248,0.0041600000000000005,0.9993005977568752,210,4,0
range,Copula Tail Risk Sizing,4,0,0.11747826485552998,-5.567956687615958,0.18654743773729937,-0.05823465786137921,-0.1645101311533041,0.10627547329192488,0.20500000000000002,0.19680000000000003,0.17361757471746597,0.09840000000000002,0.0032800000000000004,0.9993005977568752,166,4,0
