pair,strategy_id,strategy_name,family,regime,cost_bucket,status,eligible,reason,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,observations,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,avg_gross_exposure,backtest_mode,has_price_x,has_price_y,has_hedge_ratio,has_beta,has_funding_x,has_funding_y,rank_score,rank
SOL-USD-LINK-USD,21,HMM Regime Model,regime,bull,base,evaluated,False,trades<100,1,inf,0.020109008127914316,10.013789932044011,0.008642485587559777,1.0,0.02015584844530771,116,0.02134026449049342,0.0005,0.0004,4.974229894941023e-05,0.0002,1e-05,0.4396551724137931,two_leg,True,True,True,True,True,True,186.57877653341342,1
SOL-USD-LINK-USD,21,HMM Regime Model,regime,bull,stress,evaluated,False,trades<100,1,inf,0.019259008127914316,9.545201393136248,0.008642485587559536,1.0,0.01928775238750413,116,0.02134026449049342,0.00075,0.0008,4.974229894941023e-05,0.0004,1e-05,0.4396551724137931,two_leg,True,True,True,True,True,True,186.49377653341347,2
SOL-USD-LINK-USD,22,GMM Regime Model,regime,bull,base,evaluated,False,trades<100,1,inf,0.018959350138059626,9.41490903762731,0.008642485587559862,1.0,0.0189830181232451,116,0.02016802106421145,0.0005,0.0004,5.16501539684136e-05,0.0002,1e-05,0.4482758620689655,two_leg,True,True,True,True,True,True,186.46381073442797,3
SOL-USD-LINK-USD,22,GMM Regime Model,regime,bull,stress,evaluated,False,trades<100,1,inf,0.018109350138059626,8.950806275251981,0.008642485587559859,1.0,0.01811592007901086,116,0.02016802106421145,0.00075,0.0008,5.16501539684136e-05,0.0004,1e-05,0.4482758620689655,two_leg,True,True,True,True,True,True,186.37881073442796,4
SOL-USD-LINK-USD,23,KMeans Regime Model,regime,bull,base,evaluated,False,trades<100,1,inf,0.021837672534438586,6.778756834282481,0.018285493434283318,1.0,0.02167537684369636,116,0.022935957933123863,0.0005,0.0004,0.00012248240946835287,0.0002,1e-05,0.9137931034482759,two_leg,True,True,True,True,True,True,186.26949258172968,5
SOL-USD-LINK-USD,23,KMeans Regime Model,regime,bull,stress,evaluated,False,trades<100,1,inf,0.020987672534438586,6.502786873544157,0.019120878041778422,1.0,0.020805987751486787,116,0.022935957933123863,0.00075,0.0008,0.00012248240946835287,0.0004,1e-05,0.9137931034482759,two_leg,True,True,True,True,True,True,186.14272335135496,6
SOL-USD-LINK-USD,22,GMM Regime Model,regime,range,base,evaluated,False,trades<100;sharpe<1.2,1,inf,0.002657132916012984,0.7327853782536479,0.010386512782371586,1.0,0.0025855507292071866,768,0.003724831505713899,0.0005,0.0004,2.508766591600648e-05,0.0002,1e-05,0.0703125,two_leg,True,True,True,True,True,True,142.07424143501916,7
SOL-USD-LINK-USD,22,GMM Regime Model,regime,range,stress,evaluated,False,trades<100;sharpe<1.2,1,inf,0.0018071329160129841,0.49408398898248346,0.010386512782371385,1.0,0.0017324060204604308,768,0.003724831505713899,0.00075,0.0008,2.508766591600648e-05,0.0004,1e-05,0.0703125,two_leg,True,True,True,True,True,True,139.6022275423076,8
BTC-USD-SOL-USD,24,Regime Filtered Stat-Arb,regime,crisis,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,9
BTC-USD-SOL-USD,24,Regime Filtered Stat-Arb,regime,crisis,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,1658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,False,False,125.0,10
SOL-USD-LINK-USD,24,Regime Filtered Stat-Arb,regime,bear,base,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,11
SOL-USD-LINK-USD,24,Regime Filtered Stat-Arb,regime,bear,stress,evaluated,False,trades<100;sharpe<1.2;expectancy<=0,0,inf,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,two_leg,True,True,True,True,True,True,125.0,12
SOL-USD-LINK-USD,23,KMeans Regime Model,regime,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.5927525323535778,-0.0033961180283145495,-0.3791613375660903,0.04519306891435433,0.5,-0.00816473785873939,1000,-0.003986985177888869,0.0015,0.0012000000000000001,0.0008703804044343088,0.0006000000000000001,3.0000000000000004e-05,0.973,two_leg,True,True,True,True,True,True,13.42793468462937,13
SOL-USD-LINK-USD,23,KMeans Regime Model,regime,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.46702287729259884,-0.004671118028314549,-0.5203345787577162,0.046819709109089884,0.5,-0.010697019673435504,1000,-0.003986985177888869,0.0022500000000000003,0.0024000000000000002,0.0008703804044343088,0.0012000000000000001,3.0000000000000004e-05,0.973,two_leg,True,True,True,True,True,True,8.664128886451863,14
SOL-USD-LINK-USD,21,HMM Regime Model,regime,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.3694826309757735,-0.008358137671625321,-1.1442532175607725,0.04536232070519444,0.5,-0.01749627142031651,1000,-0.013474389016748467,0.0015,0.0012000000000000001,0.0007522314617114224,0.0006000000000000001,3.0000000000000004e-05,0.555,two_leg,True,True,True,True,True,True,-0.3093962036356399,15
SOL-USD-LINK-USD,22,GMM Regime Model,regime,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.36126619918946407,-0.008739576129918086,-1.1994695004222473,0.04519306891435528,0.5,-0.01824094964378964,1000,-0.014222647690137813,0.0015,0.0012000000000000001,0.0007516917395678886,0.0006000000000000001,3.0000000000000004e-05,0.551,two_leg,True,True,True,True,True,True,-1.0966510831954448,16
SOL-USD-LINK-USD,21,HMM Regime Model,regime,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.29587469405889183,-0.009633137671625321,-1.3143625988955936,0.046988672578315044,0.5,-0.02000472866255565,1000,-0.013474389016748467,0.0022500000000000003,0.0024000000000000002,0.0007522314617114224,0.0012000000000000001,3.0000000000000004e-05,0.555,two_leg,True,True,True,True,True,True,-4.059506033561924,17
