regime,strategy_name,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,median_gross_return,median_total_return,median_cost_drag,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,median_avg_gross_exposure,total_trades,two_leg_runs,spread_runs
ALL,KMeans Regime Model,4,0,0.3747713940836872,-0.800399333204608,0.09980726314826398,-0.017848116316109885,-0.0642844968455632,0.046436380529453314,0.052500000000000005,0.0504,0.20120742747553536,0.0252,0.00084,0.9851666666666666,44,4,0
ALL,HMM Regime Model,4,0,0.2822823149902529,-1.229307908228183,0.09968685088768324,-0.02320994758343725,-0.06950990536417795,0.0462999577807407,0.052500000000000005,0.0504,0.2009711295900896,0.0252,0.00084,0.7761666666666667,44,4,0
ALL,GMM Regime Model,4,0,0.2723019659802416,-1.2846381992799678,0.10098707543396553,-0.027920236054029768,-0.07274261178341096,0.04482237572938119,0.05,0.048,0.19983671681246917,0.024,0.0007999999999999999,0.7713333333333334,42,4,0
ALL,Regime Filtered Stat-Arb,4,0,0.25170259624071734,-1.8591581597048914,0.11664546954444133,-0.024675486763875598,-0.08098955065801755,0.05631406389414195,0.07250000000000001,0.0696,0.20120742747553536,0.0348,0.00116,0.9851666666666666,60,4,0
bear,Regime Filtered Stat-Arb,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
bear,GMM Regime Model,2,0,0.0,-4.511011860028805,0.04019205638959703,-0.0130304126360542,-0.01459880445154449,0.0015683918154902887,0.00125,0.0012000000000000001,0.00010830215152283275,0.0006000000000000001,2e-05,0.9897959183673469,2,2,0
bear,HMM Regime Model,2,0,0.0,-4.511011860028805,0.04019205638959703,-0.0130304126360542,-0.01459880445154449,0.0015683918154902887,0.00125,0.0012000000000000001,0.00010830215152283275,0.0006000000000000001,2e-05,0.9897959183673469,2,2,0
bear,KMeans Regime Model,2,0,0.0,-4.511011860028805,0.04019205638959703,-0.0130304126360542,-0.01459880445154449,0.0015683918154902887,0.00125,0.0012000000000000001,0.00010830215152283275,0.0006000000000000001,2e-05,0.9897959183673469,2,2,0
bull,GMM Regime Model,2,0,inf,9.182857656439646,0.00864248558755986,0.02016802106421145,0.01854946910112798,0.00161855196308347,0.00125,0.0012000000000000001,0.0001033003079368272,0.0006000000000000001,2e-05,0.4482758620689655,2,2,0
bull,HMM Regime Model,2,0,inf,9.77949566259013,0.008642485587559656,0.02134026449049342,0.01972180041640592,0.0016184640740875,0.00125,0.0012000000000000001,9.948459789882046e-05,0.0006000000000000001,2e-05,0.4396551724137931,2,2,0
bull,KMeans Regime Model,2,0,inf,6.64077185391332,0.01870318573803087,0.022935957933123863,0.021240682297591573,0.0016952756355322895,0.00125,0.0012000000000000001,0.00024496481893670574,0.0006000000000000001,2e-05,0.9137931034482759,2,2,0
bull,Regime Filtered Stat-Arb,2,0,0.3118337550513014,-7.173250809961527,0.049141770512717786,-0.01672718178689414,-0.02440218309252956,0.0076750013056354205,0.00625,0.006,0.00024496481893670574,0.003,0.00010000000000000002,0.9137931034482759,6,2,0
crisis,Regime Filtered Stat-Arb,2,0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0
crisis,HMM Regime Model,2,0,0.2576501579923976,-2.0010336867436602,0.1045982707381945,-0.04110565815442868,-0.06689297967565488,0.025787321521226203,0.01125,0.0108,0.026966666666666674,0.0054,0.00018,0.9758745476477684,10,2,0
crisis,KMeans Regime Model,2,0,0.23564732231966345,-2.0567122473602,0.10628836230362307,-0.042912426987061325,-0.06865423946886573,0.025741812481804405,0.01125,0.0108,0.026966666666666674,0.0054,0.00018,0.9758745476477684,10,2,0
crisis,GMM Regime Model,2,0,0.2173434169779851,-2.5442212708405583,0.12029699320025028,-0.057936054772296575,-0.08325278201794739,0.025316727245650816,0.01125,0.0108,0.026966666666666674,0.0054,0.00018,0.9758745476477684,10,2,0
range,GMM Regime Model,4,0,inf,-0.4649963964028496,0.07660360541363388,-0.02015551307078506,-0.059569325323032885,0.039413812252247826,0.04750000000000001,0.0456,0.17070017533183207,0.0228,0.00076,0.5303201923541929,40,4,0
range,Regime Filtered Stat-Arb,4,0,0.044497033135070245,-1.4719255012774606,0.09410627917646404,-0.022050462399711257,-0.07106408475388781,0.049013622354176556,0.0675,0.0648,0.1730896366441739,0.0324,0.0010800000000000002,0.9808743365533417,56,4,0
range,KMeans Regime Model,4,0,0.03740357587235984,-1.7032854840174643,0.08458794484747417,-0.02372502293569334,-0.06311093939073792,0.03938591645504458,0.045000000000000005,0.0432,0.1730896366441739,0.0216,0.0007200000000000002,0.9808743365533417,38,4,0
range,HMM Regime Model,4,0,0.02798566392239681,-3.629018054246792,0.09413593029171878,-0.036192376421271266,-0.07913012275219794,0.042937746330926674,0.0525,0.05040000000000001,0.17287256165321235,0.025200000000000004,0.0008400000000000001,0.7445462115533417,44,4,0
