pair,strategy_id,strategy_name,family,regime,cost_bucket,status,eligible,reason,trades,profit_factor,expectancy,sharpe,max_drawdown,win_rate,total_return,observations,gross_return,total_fees,total_slippage,total_funding,total_execution_risk,total_partial_fill_cost,avg_gross_exposure,backtest_mode,has_price_x,has_price_y,has_hedge_ratio,has_beta,has_funding_x,has_funding_y,rank_score,rank
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,crisis,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,7,0.6279772260504797,-0.005807259575720292,-1.2360702003760269,0.11399068964464192,0.2857142857142857,-0.04257008123388628,1658,-0.022085452538611272,0.006500000000000001,0.005200000000000001,0.006783333333333336,0.0026000000000000003,0.00013000000000000002,0.9819059107358263,two_leg,True,True,True,True,False,False,-0.08438893515954504,1
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.36310391331314984,-0.004542483681773961,-1.0598509615956297,0.1502337202017015,0.38461538461538464,-0.11541618402797149,12000,-0.016026853639874217,0.025500000000000002,0.0204,0.04986666666666667,0.0102,0.00051,0.9973333333333333,two_leg,True,True,True,True,False,False,-5.640692315236177,2
SOL-USD-LINK-USD,1,Classic ZScore Mean Reversion,zscore,ALL,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,4,0.3166734658480097,-0.006809717190909503,-1.5021935120202439,0.06715056005746743,0.5,-0.02827245101540743,1000,-0.019802674920036845,0.0035,0.0028,0.0008703804044343088,0.0014,7.000000000000001e-05,0.973,two_leg,True,True,True,True,True,True,-6.1435981959665185,3
SOL-USD-LINK-USD,1,Classic ZScore Mean Reversion,zscore,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,4,0.23284292811388235,-0.008297217190909504,-1.805678945844164,0.07193196906596552,0.5,-0.034075781465319865,1000,-0.019802674920036845,0.0052499999999999995,0.0056,0.0008703804044343088,0.0028,7.000000000000001e-05,0.973,two_leg,True,True,True,True,True,True,-11.662036427983805,4
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,range,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.2673244084710154,-0.005019433125386028,-1.4935206627140019,0.15021995387195625,0.4230769230769231,-0.12518417733510334,10339,-0.03361965619929508,0.025500000000000002,0.0204,0.042945833333333336,0.0102,0.00051,0.9969049231066834,two_leg,True,True,True,True,False,False,-12.034268190731819,5
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,crisis,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,7,0.4888786807779792,-0.009323926242386957,-1.9893788157390992,0.12986161959925513,0.2857142857142857,-0.06583968813503427,1658,-0.022085452538611272,0.009750000000000002,0.010400000000000001,0.020350000000000007,0.005200000000000001,0.00013000000000000002,0.9819059107358263,two_leg,True,True,True,True,False,False,-12.24015188500011,6
SOL-USD-LINK-USD,1,Classic ZScore Mean Reversion,zscore,range,base,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.0,-0.006906328694772238,-1.2334280480774777,0.036346651254557466,0.0,-0.014423354603546157,768,-0.010481268600127436,0.0015,0.0012000000000000001,0.0006531516554202524,0.0006000000000000001,3.0000000000000004e-05,0.96484375,two_leg,True,True,True,True,True,True,-14.842245912979875,7
SOL-USD-LINK-USD,1,Classic ZScore Mean Reversion,zscore,range,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;expectancy<=0,2,0.0,-0.008181328694772238,-1.450330339840919,0.037992604480971824,0.0,-0.016943992172672284,768,-0.010481268600127436,0.0022500000000000003,0.0024000000000000002,0.0006531516554202524,0.0012000000000000001,3.0000000000000004e-05,0.96484375,two_leg,True,True,True,True,True,True,-17.221066491935005,8
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,ALL,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.14274539154962937,-0.010045688809979091,-2.3216961020750992,0.2575112374854235,0.19230769230769232,-0.23341592308929826,12000,-0.016026853639874217,0.038250000000000006,0.0408,0.14960000000000007,0.0204,0.00051,0.9973333333333333,two_leg,True,True,True,True,False,False,-31.605380064202418,9
BTC-USD-SOL-USD,1,Classic ZScore Mean Reversion,zscore,range,stress,evaluated,False,trades<100;profit_factor<1.8;sharpe<1.2;max_drawdown>0.15;expectancy<=0,26,0.08899406627014049,-0.009990266458719366,-2.939124764991728,0.24897104908562762,0.19230769230769232,-0.23130461392542034,10339,-0.03361965619929508,0.038250000000000006,0.0408,0.12883750000000005,0.0204,0.00051,0.9969049231066834,two_leg,True,True,True,True,False,False,-38.69089817024016,10
