combo_name,pair,families,strategies,component_count,total_trades,median_profit_factor,median_sharpe,worst_drawdown,eligible_rows
combo_2way_01,BTC-USD-SOL-USD,adaptive;composite,Dynamic Threshold Model;Composite Quant Score,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_01,SOL-USD-LINK-USD,adaptive;composite,Dynamic Threshold Model;Composite Quant Score,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_02,BTC-USD-SOL-USD,adaptive;copula,Dynamic Threshold Model;Copula Risk Filter,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_02,SOL-USD-LINK-USD,adaptive;copula,Dynamic Threshold Model;Copula Risk Filter,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_03,BTC-USD-SOL-USD,adaptive;ecm,Dynamic Threshold Model;Pure ECM,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_03,SOL-USD-LINK-USD,adaptive;ecm,Dynamic Threshold Model;Pure ECM,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_04,BTC-USD-SOL-USD,adaptive;hybrid,Dynamic Threshold Model;ZScore + ECM,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_04,SOL-USD-LINK-USD,adaptive;hybrid,Dynamic Threshold Model;ZScore + ECM,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_05,BTC-USD-SOL-USD,adaptive;mean_reversion,Dynamic Threshold Model;Hurst Filter,2,148,0.13474582899231502,-2.0760712597457887,0.26875228106983406,0
combo_2way_05,SOL-USD-LINK-USD,adaptive;mean_reversion,Dynamic Threshold Model;Hurst Filter,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_06,BTC-USD-SOL-USD,adaptive;ml,Dynamic Threshold Model;Feature Importance Model,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_06,SOL-USD-LINK-USD,adaptive;ml,Dynamic Threshold Model;Feature Importance Model,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_07,BTC-USD-SOL-USD,adaptive;portfolio,Dynamic Threshold Model;Pair Ranking Strategy,2,114,0.0,-0.6016278656950126,0.26875228106983406,0
combo_2way_07,SOL-USD-LINK-USD,adaptive;portfolio,Dynamic Threshold Model;Pair Ranking Strategy,2,22,0.0,-0.013122728943118198,0.06866862808740533,0
combo_2way_08,BTC-USD-SOL-USD,adaptive;regime,Dynamic Threshold Model;KMeans Regime Model,2,200,0.1976151526150086,-2.3085225801956435,0.26875228106983406,0
combo_2way_08,SOL-USD-LINK-USD,adaptive;regime,Dynamic Threshold Model;KMeans Regime Model,2,32,0.2924124467072723,-1.5795164860118143,0.06866862808740533,0
combo_2way_09,BTC-USD-SOL-USD,adaptive;zscore,Dynamic Threshold Model;Classic ZScore Mean Reversion,2,232,0.21166931446334827,-2.1555374589070992,0.26875228106983406,0
combo_2way_09,SOL-USD-LINK-USD,adaptive;zscore,Dynamic Threshold Model;Classic ZScore Mean Reversion,2,44,0.25462020079372377,-4.231362390792632,0.07193196906596552,0
combo_2way_10,BTC-USD-SOL-USD,composite;copula,Composite Quant Score;Copula Risk Filter,2,0,0.0,0.0,0.0,0
combo_2way_10,SOL-USD-LINK-USD,composite;copula,Composite Quant Score;Copula Risk Filter,2,0,0.0,0.0,0.0,0
combo_2way_11,BTC-USD-SOL-USD,composite;ecm,Composite Quant Score;Pure ECM,2,0,0.0,0.0,0.0,0
combo_2way_11,SOL-USD-LINK-USD,composite;ecm,Composite Quant Score;Pure ECM,2,0,0.0,0.0,0.0,0
combo_2way_12,BTC-USD-SOL-USD,composite;hybrid,Composite Quant Score;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_12,SOL-USD-LINK-USD,composite;hybrid,Composite Quant Score;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_13,BTC-USD-SOL-USD,composite;mean_reversion,Composite Quant Score;Hurst Filter,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_13,SOL-USD-LINK-USD,composite;mean_reversion,Composite Quant Score;Hurst Filter,2,0,0.0,0.0,0.0,0
combo_2way_14,BTC-USD-SOL-USD,composite;ml,Composite Quant Score;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_14,SOL-USD-LINK-USD,composite;ml,Composite Quant Score;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_15,BTC-USD-SOL-USD,composite;portfolio,Composite Quant Score;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_15,SOL-USD-LINK-USD,composite;portfolio,Composite Quant Score;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_16,BTC-USD-SOL-USD,composite;regime,Composite Quant Score;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_16,SOL-USD-LINK-USD,composite;regime,Composite Quant Score;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_17,BTC-USD-SOL-USD,composite;zscore,Composite Quant Score;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_17,SOL-USD-LINK-USD,composite;zscore,Composite Quant Score;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
combo_2way_18,BTC-USD-SOL-USD,copula;ecm,Copula Risk Filter;Pure ECM,2,0,0.0,0.0,0.0,0
combo_2way_18,SOL-USD-LINK-USD,copula;ecm,Copula Risk Filter;Pure ECM,2,0,0.0,0.0,0.0,0
combo_2way_19,BTC-USD-SOL-USD,copula;hybrid,Copula Risk Filter;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_19,SOL-USD-LINK-USD,copula;hybrid,Copula Risk Filter;ZScore + ECM,2,0,0.0,0.0,0.0,0
combo_2way_20,BTC-USD-SOL-USD,copula;mean_reversion,Copula Risk Filter;Hurst Filter,2,34,0.0,0.0,0.23415871402374777,0
combo_2way_20,SOL-USD-LINK-USD,copula;mean_reversion,Copula Risk Filter;Hurst Filter,2,0,0.0,0.0,0.0,0
combo_2way_21,BTC-USD-SOL-USD,copula;ml,Copula Risk Filter;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_21,SOL-USD-LINK-USD,copula;ml,Copula Risk Filter;Feature Importance Model,2,0,0.0,0.0,0.0,0
combo_2way_22,BTC-USD-SOL-USD,copula;portfolio,Copula Risk Filter;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_22,SOL-USD-LINK-USD,copula;portfolio,Copula Risk Filter;Pair Ranking Strategy,2,0,0.0,0.0,0.0,0
combo_2way_23,BTC-USD-SOL-USD,copula;regime,Copula Risk Filter;KMeans Regime Model,2,86,0.0,-0.5402320438257499,0.25198594387995527,0
combo_2way_23,SOL-USD-LINK-USD,copula;regime,Copula Risk Filter;KMeans Regime Model,2,10,0.0,0.0,0.046819709109089884,0
combo_2way_24,BTC-USD-SOL-USD,copula;zscore,Copula Risk Filter;Classic ZScore Mean Reversion,2,118,0.0,-0.5299254807978149,0.2575112374854235,0
combo_2way_24,SOL-USD-LINK-USD,copula;zscore,Copula Risk Filter;Classic ZScore Mean Reversion,2,22,0.0,-0.6167140240387389,0.07193196906596552,0
