threshold,cost_bucket,pairs,median_trades,max_trades,median_profit_factor,median_sharpe,median_expectancy,worst_drawdown,passing_pairs,diagnosis
1.0,base,23,7.0,173,0.24189261873856815,-3.5491572750825426,-0.006897104318593179,0.6214606854190461,0,more_trades_but_profit_factor_fails
1.0,stress,23,7.0,173,0.1863023615477775,-3.724676279124038,-0.008480583562267954,0.624715588992408,0,more_trades_but_profit_factor_fails
1.25,base,23,5.5,133,0.15508751862867776,-2.8126159003016635,-0.007142910147278233,0.6314820629155538,0,more_trades_but_profit_factor_fails
1.25,stress,23,5.5,133,0.09781573674183472,-3.4253376121456593,-0.00869802378364187,0.6314820629155529,0,more_trades_but_profit_factor_fails
1.5,base,23,4.5,113,0.2147201785703261,-2.360098076917949,-0.0063663903472397235,0.6314820629155529,0,more_trades_but_profit_factor_fails
1.5,stress,23,4.5,113,0.1518154793871614,-2.88137052179588,-0.007953805739541778,0.6314820629155539,0,more_trades_but_profit_factor_fails
1.75,base,23,3.5,91,0.2736061939044768,-1.6630858560701076,-0.004652043235684565,0.6843304173470006,0,threshold_still_trade_sparse
1.75,stress,23,3.5,91,0.18687328408718795,-2.1638475850720993,-0.006231626569017899,0.6854410782438032,0,threshold_still_trade_sparse
2.0,base,23,3.0,74,0.3181653786675409,-1.2815243605802844,-0.005052982349754253,0.701665576527417,0,threshold_still_trade_sparse
2.0,stress,23,3.0,74,0.2428595698361309,-1.6923933240132045,-0.006604972399505497,0.7026873894229476,0,threshold_still_trade_sparse
2.25,base,23,2.0,58,0.4522316929689137,-1.0089249224873749,-0.004563468070466205,0.7181605186551396,0,threshold_still_trade_sparse
2.25,stress,23,2.0,58,0.3377168734573426,-1.2535767620162788,-0.006113468070466204,0.7191340034818833,0,threshold_still_trade_sparse
